id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
1,下列選項關於腸道 Intraepithelial lymphocytes (IELs)的敘述，何者錯誤？,IELs 都是 CD8陽性T細胞,"IELs 表現 NKG2D 受器與 MIC-A, B交互作用，進而激活IELs 細胞",IELs 毒殺受壓力細胞(Stresses cells)是經由 perforin/granzyme 途徑,IELs 大部分都是樹突細胞(Dendritic cells),D,,消化系統免疫學 林明宏,"📖 chatGPT 學長背景知識  
腸道內的『上皮淋巴細胞』(Intraepithelial lymphocytes, IELs) 是一群特殊的免疫細胞，主要存在於腸道上皮層中，對於維持腸道的免疫平衡及防禦病原體具有重要作用。IELs 主要由 T 細胞組成，並且在腸道的免疫反應中扮演關鍵角色。

核心觀念：  
- IELs 主要是『CD8+ T 細胞』，但也有少數是『CD4+ T 細胞』或其他亞型。  
- IELs 表現『NKG2D』受器，能與『MIC-A』和『MIC-B』交互作用，這是其激活機制之一。  
- IELs 可透過『perforin/granzyme』途徑來毒殺受壓力細胞，這是一種細胞毒性反應。  
- IELs 中的樹突細胞比例相對較低，主要是 T 細胞，而非樹突細胞。

解析選項：  
(A) IELs 都是 CD8陽性T細胞  
- 錯誤。雖然大部分 IELs 是 CD8+ T 細胞，但也存在少數 CD4+ T 細胞及其他亞型。

(B) IELs 表現 NKG2D 受器與 MIC-A, B交互作用，進而激活IELs 細胞  
- 正確。NKG2D 受器的表現及其與 MIC-A、MIC-B 的交互作用確實能激活 IELs。

(C) IELs 毒殺受壓力細胞(Stresses cells)是經由 perforin/granzyme 途徑  
- 正確。這是 IELs 毒殺受壓力細胞的主要機制之一。

(D) IELs 大部分都是樹突細胞(Dendritic cells)  
- 錯誤。IELs 主要是 T 細胞，樹突細胞在 IELs 中的比例相對較低。

結論：  
根據以上解析，選項 (A) 和 (D) 均為錯誤敘述，但若只選擇一個最明顯的錯誤，則選項 (D) 更具誤導性，因為它明確地將 IELs 誤認為主要是樹突細胞。"
2,下列選項關於腸道微生物相(Gut Microbiota)的敘述，何者錯誤？,"促進腸上皮細胞(Gut epithelial cells)分泌細胞激素 IL-25, IL-33, TSLP, 和 RA",抑制發炎 TH17 輔助型 T 細胞(helper T cells)分化,微生物菌群代謝物 Butyrate 可促進調節性 T 細胞(Regulatory T cells),微生物菌群 Flagellin 可促進 IgA 製造,B,,消化系統免疫學 林明宏,"📖 chatGPT 學長背景知識  
腸道微生物相是指生活在腸道內的微生物群落，對宿主的免疫系統、代謝及整體健康有重要影響。以下是對題目中各選項的解析：

- (A) 促進腸上皮細胞(Gut epithelial cells)分泌細胞激素 IL-25, IL-33, TSLP, 和 RA  
  正確。腸道微生物能刺激腸上皮細胞分泌這些細胞激素，這些激素在調節免疫反應及維持腸道屏障功能中扮演重要角色。

- (B) 抑制發炎 TH17 輔助型 T 細胞(helper T cells)分化  
  錯誤。腸道微生物相通常會促進 TH17 細胞的分化，這些細胞在抵抗細菌和真菌感染中具有重要作用，並且與發炎反應有關。

- (C) 微生物菌群代謝物 Butyrate 可促進調節性 T 細胞(Regulatory T cells)  
  正確。Butyrate 是腸道微生物代謝產物之一，已知能促進調節性 T 細胞的生成，這對於維持免疫耐受性及防止自體免疫疾病至關重要。

- (D) 微生物菌群 Flagellin 可促進 IgA 製造  
  正確。Flagellin 是一種細菌的鞭毛蛋白，能刺激腸道免疫系統，促進 IgA 的產生，這有助於保護腸道免受病原體的侵害。

結論：根據上述解析，選項 (B) 是錯誤的。腸道微生物相並不抑制 TH17 輔助型 T 細胞的分化，反而是促進其生成。"
3,幽門成型術(pyloroplasty)，常會伴隨著下列何種術式？,迷走神經幹切斷術(truncal vagotomy),高選擇性迷走神經切斷術(highly selective vagotomy),胃竇切除術(antrectomy),次全胃切除術(subtotal gastrectomy),A,,消化道臨床解剖學 莊樹宏,"📖 chatGPT 學長背景知識  
幽門成型術（pyloroplasty）是一種外科手術，主要用於治療胃排空障礙，特別是在某些胃部疾病的情況下。此手術通常會與其他手術一起進行，以達到更好的治療效果。

核心觀念：  
- 幽門成型術的目的在於改善『胃排空』，減少『幽門』的阻塞。  
- 常見的合併術式包括迷走神經切斷術，因為這可以減少胃酸分泌，降低潰瘍復發的風險。  
- 迷走神經的切斷方式有多種，主要分為『迷走神經幹切斷術』和『高選擇性迷走神經切斷術』。  
- 胃竇切除術和次全胃切除術則是針對胃部的其他病變，通常不會直接與幽門成型術一起進行。

解析選項：  
(A) 迷走神經幹切斷術（truncal vagotomy）  
- 此術式會切斷主要的迷走神經，顯著減少胃酸分泌，常與幽門成型術合併使用，以減少潰瘍復發的機會。

(B) 高選擇性迷走神經切斷術（highly selective vagotomy）  
- 此術式僅切斷供應胃底的迷走神經，保留胃竇的神經支配，對於胃排空影響較小，通常也會與幽門成型術一起進行。

(C) 胃竇切除術（antrectomy）  
- 此術式主要針對胃竇部的病變，雖然可以與幽門成型術同時進行，但並不是常見的合併術式。

(D) 次全胃切除術（subtotal gastrectomy）  
- 此術式涉及切除胃的大部分，通常不會與幽門成型術一起進行，因為其目的與幽門成型術不同。

結論：  
幽門成型術最常與『迷走神經幹切斷術』或『高選擇性迷走神經切斷術』合併進行，以達到最佳的治療效果。因此，正確答案為 (A) 迷走神經幹切斷術。"
4,術中膽道攝影(intraoperative cholangiography)，常以切開哪一個構造來施行？,膽囊(gallbladder),膽囊管(cystic duct),總肝管(common hepatic duct),總膽管(common bile duct),B,,消化道臨床解剖學 莊樹宏,"📖 chatGPT 學長背景知識  
術中膽道攝影（intraoperative cholangiography）是一種在膽囊切除手術中進行的影像學檢查，主要用於評估膽道系統的解剖結構及功能，並檢測可能的膽道結石或其他病變。

核心觀念：  
- 『術中膽道攝影』的目的在於確認膽道的完整性及排除病變。  
- 通常在『膽囊切除手術』過程中進行。  
- 進行攝影的時候，需選擇合適的進入點以便注入造影劑。  
- 常見的進入點為『膽囊管』，因為它直接連接膽囊與膽道系統。  

選項解析：  
(A) 膽囊(gallbladder)  
- 雖然膽囊是手術的主要部位，但直接從膽囊進行攝影不常見。  

(B) 膽囊管(cystic duct)  
- 正確答案。『膽囊管』是進行術中膽道攝影的主要切開點，因為它連接膽囊與『總肝管』，便於造影劑進入膽道系統。  

(C) 總肝管(common hepatic duct)  
- 雖然可進行攝影，但通常不作為首選切開點。  

(D) 總膽管(common bile duct)  
- 也可進行攝影，但通常在膽囊管切開後進行，並非首選。  

結論：術中膽道攝影最常以『膽囊管』作為切開點，以便有效地進行膽道的評估和檢查。正確答案為 (B) 膽囊管(cystic duct)。"
5,肝臟的解剖切除(anatomical liver resection)，需要緊貼以下何種構造來執行？,肝內膽管(intrahepatic bile duct),肝動脈(hepatic artery),門靜脈(portal vein),肝靜脈(hepatic vein),D,,消化道臨床解剖學 莊樹宏,"📖 chatGPT 學長背景知識  
肝臟的解剖切除是一種外科手術，旨在切除肝臟的特定區域，通常用於治療肝臟腫瘤或其他病變。在進行此手術時，了解肝臟的血管及膽管系統的解剖結構至關重要，以確保手術的安全性和有效性。

核心觀念：  
- 肝臟的解剖切除需要考慮到『血管』和『膽管』的解剖位置。  
- 肝臟的主要血供來自『肝動脈』和『門靜脈』，而『肝靜脈』則負責將血液引流出肝臟。  
- 『肝內膽管』則負責膽汁的排泄，與肝臟的功能密切相關。  

解析選項：  
(A) 肝內膽管(intrahepatic bile duct)  
- 雖然肝內膽管在肝臟功能中重要，但在解剖切除時，主要目的是保護血管結構，而非膽管。  

(B) 肝動脈(hepatic artery)  
- 肝動脈提供肝臟的血液供應，但在解剖切除時，並不需要緊貼此結構。  

(C) 門靜脈(portal vein)  
- 門靜脈是肝臟的主要血液供應來源之一，但在進行解剖切除時，並不是主要的參考結構。  

(D) 肝靜脈(hepatic vein)  
- 肝靜脈負責將肝臟的血液引流至下腔靜脈，並且在解剖切除中，通常需要緊貼此結構以確保切除的邊界清晰，並避免出血。  

結論：  
在肝臟的解剖切除中，最需要緊貼的構造是『肝靜脈』，因此正確答案為 (D) 肝靜脈(hepatic vein)。"
6,有關胰頭十二指腸切除手術(pancreatoduodenectomy)的適應症，以下何者為非？,十二指腸第二部癌(duodenal second portion cancer),乏特氏壺腹腫瘤(ampulla of Vater tumor),肝門部膽管癌(hilar cholangiocarcinoma),胰頭癌(pancreatic head cancer),C,,消化道臨床解剖學 莊樹宏,"📖 chatGPT 學長背景知識  
胰頭十二指腸切除手術（pancreatoduodenectomy），又稱為Whipple手術，是一種針對胰頭及其周圍結構的外科手術，主要用於治療某些類型的癌症及其他病變。了解其適應症對於臨床醫學的應用至關重要。

核心觀念：  
- 胰頭十二指腸切除手術主要適應症包括：  
  1. 『十二指腸第二部癌』：此癌症位於十二指腸的第二部分，手術可切除腫瘤並改善預後。  
  2. 『乏特氏壺腹腫瘤』：此腫瘤位於壺腹部，影響膽管及胰管的開口，手術可有效去除腫瘤。  
  3. 『肝門部膽管癌』：雖然此癌症通常需要肝切除，但在某些情況下，若腫瘤可切除且影響胰頭，則可考慮進行胰頭十二指腸切除。  
  4. 『胰頭癌』：這是最常見的適應症，因為胰頭癌直接影響胰頭，手術是主要治療方式。  

- 錯誤選項分析：  
  - (C) 『肝門部膽管癌』：此癌症的主要治療方式通常是肝切除，而非胰頭十二指腸切除，因為其主要病變不在胰頭部位。  

結論：根據上述分析，選項(C)『肝門部膽管癌』為非適應症，因其主要治療方式不涉及胰頭十二指腸切除手術。"
7,有關排便反射及神經調控，下列何者錯誤？,直腸壁伸張可觸發排便反射並刺激內肛括約肌舒張,外肛括約肌為骨骼肌，可隨意收縮控制排便時機,排便完全依賴隨意神經活動，與反射無關,排便反射可受中樞神經調節強弱,C,,消化系統生理學 黃烱瑋,"📖 chatGPT 學長背景知識  
排便反射是一個複雜的生理過程，涉及多種神經機制的協調。此過程主要由自律神經系統和隨意神經系統共同調控，並受到中樞神經的影響。以下是對題目選項的詳細解析：

核心觀念：
- 『排便反射』是由直腸壁的伸張引發的反射行為。
- 『內肛括約肌』的舒張是反射性動作，通常不受意識控制。
- 『外肛括約肌』為骨骼肌，屬於隨意肌，可由意識控制。
- 排便過程中，『中樞神經』可調節反射的強度和時機。

選項解析：
(A) 直腸壁伸張可觸發排便反射並刺激內肛括約肌舒張  
正確。當直腸壁因糞便的積聚而伸張時，會啟動排便反射，導致內肛括約肌的舒張。

(B) 外肛括約肌為骨骼肌，可隨意收縮控制排便時機  
正確。外肛括約肌是骨骼肌，能夠隨意收縮，這使得個體可以控制排便的時機。

(C) 排便完全依賴隨意神經活動，與反射無關  
錯誤。排便過程中，雖然隨意神經活動對外肛括約肌的控制至關重要，但排便反射本身是由自律神經系統調控的，並不完全依賴隨意神經。

(D) 排便反射可受中樞神經調節強弱  
正確。中樞神經系統可以調節排便反射的強度和時機，影響排便的過程。

結論：根據以上解析，選項(C)是錯誤的，因為排便並非完全依賴隨意神經活動，而是涉及反射機制。"
8,下列關於肝臟在代謝及分泌功能的敘述，何者錯誤？,肝臟可合成血漿蛋白如白蛋白和多種凝血因子,肝臟將膽固醇轉化為膽鹽，參與脂肪消化,肝臟僅參與膽紅素的生成，無法分解老化紅血球,肝臟可將有害物質進行生物轉化成較無毒物質,C,,消化系統生理學 黃烱瑋,"📖 chatGPT 學長背景知識  
肝臟是人體內最大的內臟器官，擁有多種重要的代謝及分泌功能，包括合成蛋白質、膽鹽的生成、解毒等。了解肝臟的功能對於臨床醫學及病理學的學習至關重要。

核心觀念：  
- 肝臟合成『血漿蛋白』如『白蛋白』和『凝血因子』。  
- 肝臟將『膽固醇』轉化為『膽鹽』，參與『脂肪消化』。  
- 肝臟參與『膽紅素』的生成，並且能『分解老化紅血球』。  
- 肝臟可將『有害物質』進行『生物轉化』成較無毒物質。  

解析：  
(A) 正確。肝臟確實合成多種『血漿蛋白』，包括『白蛋白』和多種『凝血因子』，這是其重要的生理功能之一。  
(B) 正確。肝臟將『膽固醇』轉化為『膽鹽』，這些膽鹽在腸道中有助於『脂肪消化』和吸收。  
(C) 錯誤。肝臟不僅參與『膽紅素』的生成，還能『分解老化紅血球』，這是肝臟的另一重要功能。  
(D) 正確。肝臟能將『有害物質』進行『生物轉化』，使其變為較無毒的形式，這是肝臟的解毒功能。

結論：選項 (C) 的敘述為錯誤，因為肝臟不僅生成『膽紅素』，還參與『老化紅血球』的分解。"
9,關於消化道分泌調控之神經傳遞物質，下列何者錯誤？,ENS 興奮時釋放 ACh促進平滑肌收縮,VIP、NO為ENS 抑制性神經傳遞物質,副交感神經刺激時主要釋放去甲腎上腺素,腸神經叢可釋放P物質以促進腸肌活動,C,,消化系統生理學 黃烱瑋,"📖 chatGPT 學長背景知識  
消化道的神經調控主要依賴於腸神經系統（ENS）及其釋放的神經傳遞物質，這些物質對於消化道的運動、分泌及血流調控具有重要作用。以下是對題目選項的逐一解析：

1. **選項(A)**：ENS 興奮時釋放 ACh 促進平滑肌收縮  
   - 正確。『乙醯膽鹼』（ACh）是腸神經系統主要的興奮性神經傳遞物質，能夠促進平滑肌的收縮，進而推動食物通過消化道。

2. **選項(B)**：VIP、NO為ENS 抑制性神經傳遞物質  
   - 正確。『血管活性肽』（VIP）和『一氧化氮』（NO）均為抑制性神經傳遞物質，能夠降低平滑肌的收縮，促進腸道的放鬆，進而調節腸道的運動。

3. **選項(C)**：副交感神經刺激時主要釋放去甲腎上腺素  
   - 錯誤。副交感神經系統在刺激時主要釋放『乙醯膽鹼』（ACh），而非『去甲腎上腺素』。去甲腎上腺素主要與交感神經系統相關，負責促進身體的「戰鬥或逃跑」反應。

4. **選項(D)**：腸神經叢可釋放P物質以促進腸肌活動  
   - 正確。『P物質』是一種神經傳遞物質，能夠促進腸道平滑肌的活動，並在腸道的運動調控中扮演重要角色。

結論：根據上述分析，選項(C)為錯誤選項，因為副交感神經刺激時釋放的主要神經傳遞物質應為『乙醯膽鹼』而非『去甲腎上腺素』。"
10,關於膽囊及膽汁分泌調節機制，下列何者錯誤？,膽囊收縮需 CCK刺激及副交感神經參與,Oddi 括約肌收縮會促進膽汁進入小腸,CCK 可促進胰液與膽汁流入十二指腸,高脂飲食可刺激膽囊收縮反射。,B,,消化系統生理學 黃烱瑋,"📖 chatGPT 學長背景知識  
本題主要探討『膽囊』及『膽汁』的分泌調節機制，涉及生理學及消化系統的基本知識。

核心觀念：  
- 『膽囊』的主要功能是儲存和濃縮『膽汁』。  
- 『膽汁』的分泌受到多種因素的調節，尤其是飲食成分。  
- 『CCK』（膽囊收縮素）是主要的調節因子，促進膽囊收縮及膽汁釋放。  
- 『Oddi 括約肌』的功能是控制膽汁及胰液進入『十二指腸』的流動。  
- 高脂飲食可刺激『膽囊』的收縮反射，促進膽汁的釋放。

選項解析：  
(A) 膽囊收縮需 CCK刺激及副交感神經參與  
- 正確。『CCK』是由小腸釋放的激素，能刺激膽囊收縮，並且副交感神經也參與此過程。

(B) Oddi 括約肌收縮會促進膽汁進入小腸  
- 錯誤。『Oddi 括約肌』的收縮會阻止膽汁進入小腸，只有在放鬆時，膽汁才能進入『十二指腸』。

(C) CCK 可促進胰液與膽汁流入十二指腸  
- 正確。『CCK』不僅促進膽囊收縮，還能促進胰液的分泌，協助消化。

(D) 高脂飲食可刺激膽囊收縮反射  
- 正確。高脂飲食會刺激『CCK』的釋放，進而促進膽囊收縮，釋放膽汁以幫助脂肪的消化。

結論：  
根據以上解析，選項 (B) 是錯誤的，因為 Oddi 括約肌的收縮會阻止膽汁進入小腸，而非促進。"
11,關於小腸運動型態與其生理意義，下列何者錯誤？,分節運動有助於食物混合並促進養分吸收。,蠕動為推動食糜向遠端移動的主要運動型態。,MMC 主要於空腹時發生，有清除殘渣功能。,MMC 在進食後比空腹更為活躍,D,,消化系統生理學 黃烱瑋,"📖 chatGPT 學長背景知識  
小腸的運動型態主要包括『分節運動』和『蠕動』，這些運動對於食物的消化與吸收至關重要。此外，『腸道運動』的調控也與生理狀態（如空腹或進食後）密切相關。

核心觀念：  
- 『分節運動』：有助於食物的『混合』和『養分吸收』。  
- 『蠕動』：主要功能是將『食糜』推向『遠端』。  
- 『MMC（Migrating Motor Complex）』：主要在『空腹』時發生，具有『清除殘渣』的功能。  
- 進食後，『MMC』的活性會降低，主要是因為食物的存在會促進其他類型的腸道運動。

解析：  
(A) 正確。分節運動確實有助於食物的混合，並促進養分的吸收。  
(B) 正確。蠕動是推動食糜向遠端移動的主要運動型態。  
(C) 正確。MMC主要在空腹時發生，並有助於清除腸道中的殘渣。  
(D) 錯誤。MMC在進食後的活性會降低，因為進食後腸道會轉向其他運動型態以促進消化。

結論：選項(D)為錯誤選項，因為MMC在進食後並不比空腹時更為活躍。"
