id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,Which of the following tests primarily evaluates whether a dislocated hip can be reduced into the acetabulum in DDH?,Barlow test,Ortolani test,Trendelenburg test,Galeazzi sign,B,本題主要在考以下兩個測試： (1) Ortolani test：讓髖關節外展做復位（reduced into the acetabulum)，使髖關節外展將 femoral head 復位，可以復位的話就是Ortolani test positive (1) Barlow test：讓髖關節內收，使髖關節脫臼(Dislocation)，看關節會不會因為受力而脫臼。讓髖關節內收，再施以一個由前往後的力量看 femoral head 會不會被推出來，使髖關節脫臼 記法： A. Ortolani test 有一個O：把髖關節復位成一體，所以是一個圈 B. Barlow test 的 B 有兩個 O：使髖關節脫臼，讓 femoral head 跟髖臼分開，所以是兩個圈 由此可知，要選擇(B)選項 Ortolani test。,小兒髖關節疾病,沈柏志,
2,Which statement about LCPD is correct?,It results from bacterial infection of the hip joint.,It results from vascular interruption leading to avascular necrosis and staged healing.,Age of onset has no influence on prognosis.,Complete surgical restoration of a normal femoral head shape is always guaranteed.,B,(B)選項敘述正確，Legg-Calve-Perthes Disease 小兒股骨頭缺血性壞死是因 Capital Femoral Epiphysis Blood Supply Disruption 造成。 (A)選項錯誤，LCPD是特發性缺血性壞死，不是感染性。 (D)選項錯誤，是盡量維持球形、非保證恢復完全正常形狀。 (C)選項錯誤，發病年齡會影響預後，越大預後越差。,小兒髖關節疾病,沈柏志,
3,Which of the following is true regarding SCFE?,It is most strongly associated with congenital hip dislocation.,"The stable type allows partial or full weight-bearing, while the unstable type does not.",Acute SCFE symptoms always last more than three months.,There is no link between SCFE and endocrine disorders.,B,"A.C.D如筆記所示 B選像老師講義沒有特別提到，根據網路資料 Stable SCFE: patient can ambulate (with or without crutches). Unstable SCFE: patient cannot bear weight, even with assistance — higher risk of avascular necrosis. 故B為正確答案",小兒髖關節疾病,沈柏志,
4,Which of the following statements about Zone of Polarizing Activity (ZPA) is false?,It regulates anterior–posterior axis formation.,It signals primarily through Sonic Hedgehog (SHH).,Its disruption may lead to mirror-image digit duplication.,It controls proximodistal growth through fibroblast growth factors (FGFs).,D,D錯誤，因為FGF是調控AER，ZPA則是受到SHH調控,上肢先天畸型,沈柏志,
5,Which statement regarding polydactyly or syndactyly is correct?,Postaxial polydactyly involves the radial (thumb) side of the hand.,Preaxial polydactyly involves the ulnar side of the hand.,Syndactyly most often involves the third web space and may be simple or complex.,Syndactyly always results from SHH signaling errors.,C,"(C) 正確。 most common in the 3rd web space, most common in Male. Simple (skin and subcutaneous tissue) or complex (bony fusion) (A) & (B) Preaxial polydactyly involves the radial side of the hand. (D) Syndactyly: Failure of differentiation in the AER of the hand paddle. AER controls proximodistal patterning via FGF, 而非總是源於 SHH 信號傳導錯誤。",上肢先天畸型,沈柏志,
6,Which of the following statements is true?,"Sprengel deformity is congenital, often associated with an omovertebra, and severe cases may require surgery.",Congenital radioulnar synostosis mainly causes limitation in wrist flexion and extension.,Cleft hand atypical type is usually bilateral and genetically linked.,"Sprengel deformity only develops during adolescence, not at birth.",A,(A) 先天性: Sprengel 畸形是由於胎兒發育期間肩胛骨下降失敗所致 ，導致肩胛骨位置太高且發育不良 。 Omovertebra 相關: 症狀包括肩胛骨與脊柱之間多了一塊骨化的 Omovertebra (肩胛骨脊椎附著物) 。 手術治療: 當肩部活動範圍受限導致功能障礙或病人無法接受外觀時，建議進行手術矯正 。手術涉及切除 Omovertebra，並將肩胛骨向下轉移 。 (B) 橈尺骨關節融合症的主要問題是橈骨和尺骨之間的異常連接 ，導致前臂固定在內旋位 (pronation)，從而限制外旋 (supination) 和內旋 ，而不是限制手腕（腕部）的屈曲和伸展。 (C)非典型變異 (Atypical Variety) 的臨床表現通常是單側 (Unilateral) 發生，且為偶發性 (Sporadic) ，通常不會合併其他系統性問題 。典型變異 (Typical Variety) 才通常是雙側 (Bilateral) 發生，且與體染色體顯性遺傳 (AD) 相關 。 (D)prengel 畸形是先天性畸形，其病因是胎兒發育期間肩胛骨下降失敗 。,上肢先天畸型,沈柏志,
7,A pregnant woman complained right wrist pain and painful twisting during work. Orthopaedic examination revealed Finkelstein test positive. Which tendons are hurt? 1. APL (abductor pollicis longus) 2. EIP (extensor indicis proprius) 3. EPB (extensor pollicis brevis) 4. EDM (extensor digiti minimi):,1+2,3+4,1+3,2+3,C,Finkelstein test是檢查de Quervain’s Disease的理學檢查，而其病因為Stenosing tenosynovitis in the 1st tunnel (APL/ EPB),手部、腕部疾患及損傷重建治療,傅尹志,
8,"A senior high school boy received intensive tennis elbow training for 2 weeks. After training, he felt right elbow lateral side severe pain during wrist in extension position. Which tendon was most likely hurt?",Flexor carpi radialis,Brachialis,Extensor carpi radialis brevis,Pronator teres,C,,手部、腕部疾患及損傷重建治療,傅尹志,
9,Which tendon goes through carpal tunnel?,Flexor carpi ulnars,Flexor carpi radialis,Flexor policis longus,Palmaris longus,C,腕隧道：為腕骨前表面深凹下去形成的一個骨質通道，當中包含: (1) 正中神經 median n. (2) 屈拇長肌肌腱 flexor policis longus (3) 屈指淺肌肌腱(4 條) flexor digitorum superficialis (4) 屈指深肌肌腱(4 條) flexor digitorum profundus,手部、腕部疾患及損傷重建治療,傅尹志,
10,Which statement is incorrect about ankle fracture?,deltoid ligament rupture may occur in stage 1 pronation-abduction type fracture,Medial malleolar fracture may occur in stage 4 supination-ext. rotation type fracture,lateral malleolar fracture may occur in stage 1 supination-ext. rotation type fracture,lateral malleolar fracture may occur in stage 1 supination-adduction type fracture,C,(C) Anteroinferior tibiofibular lig. may occur in stage 1 supination-ext. rotation type fracture,足踝關節創傷、疾病及重建,黃鵬如,
