id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,What is the Drehmann sign associated with in SCFE?,Increased internal rotation of the hip,Decreased abduction of the hip,External rotation of the hip during passive flexion,Inability to bear weight on the affected limb,C,Drehmann sign:若是在hip flexion時自主產生hip external rotation，則代表為positive sign,小兒髖關節疾病,沈柏志,"The Drehmann sign indicates that during hip flexion, if there is an involuntary external rotation of the hip, it is considered a positive sign. Therefore, option C is correct."
2,What is the recommended treatment for DDH in infants aged 0-6 months?,Close reduction,Open reduction,Pavlik harness,,C,0-6個月大的嬰兒應該以帶Palvik harness還有Abduction brace來當DDH的治療,小兒髖關節疾病,沈柏志,"For infants aged 0-6 months with DDH, the recommended treatment is the Pavlik harness, making option C the correct answer."
3,"In LCPD, which age group typically has the worst prognosis?",2-4 years old,4-6 years old,6-9 years old,9-12 years old,D,LCPD的發病年齡越大，預後越差。(但也不是年紀越小越好),小兒髖關節疾病,沈柏志,"In LCPD, older age groups typically have worse prognoses, thus making option D the correct answer."
4,"Regarding the description and clinical features of Cleft Hand, which of the following statements is incorrect?",The typical variety usually occurs bilaterally,The atypical variety usually occurs unilaterally,The typical variety commonly has an autosomal dominant inheritance pattern,The atypical variety is usually associated with other abnormalities,D,(D) Usaually none.,上肢先天畸形,沈柏志,"The atypical variety of Cleft Hand is usually not associated with other abnormalities, making option D the incorrect statement."
5,Which of the following is NOT one of the three primary signaling axes in upper limb bud development?,The apical ectodermal ridge (AER),The zone of polarizing activity (ZPA),The non-AER ectoderm of the limb bud,The proximal-distal growth center (PDGC),D,,上肢先天畸形,沈柏志,"The proximal-distal growth center (PDGC) is not one of the three primary signaling axes in upper limb bud development, making option D the correct answer."
6,"According to the New York Congenital Malformations Registry, what is the most common congenital upper extremity anomaly?",Syndactyly,Polydactyly,Radial longitudinal deficiency,Symbrachydactyly,B,,上肢先天畸形,沈柏志,The correct answer is B (Polydactyly) as it is identified as the most common congenital upper extremity anomaly according to the New York Congenital Malformations Registry.
7,A pregnant woman complained about right wrist pain and painful twisting during work. Orthopedic examination revealed Finkelstein test positive. Which tendons are hurt?,APL (abductor pollicis longus) 2. EIP (extensor indicis proprius),1+3,3+4,2+3,B,Finkelstein test positive為de Qurevain’s disease，受損tendon為APL/EPB,手部、腕部疾患及損傷重建治療,傅尹志,"The correct answer is B (1+3) as the Finkelstein test indicates de Quervain's disease, which affects the APL and EPB tendons."
8,A woman complained bilateral hands numbness all day long with little and ring finger clawing in the morning. The sensory deficit area is as the figure shown. Which one is your preferred?,Cubital tunnel syndrome,Carpal tunnel syndrome,median nerve compression,Tinel sign over wrist area,A,BCD選項與腕隧道症候群有關，受到影響的神經為median nerve，所以應為大拇指、食指、中指和部分無名指這些受median n.支配的地方會不適，與題幹不相符。A選項老師講義無，但通過刪去法後可以得到答案cubital tunnel syndrome為ulnar nerve受到壓迫，因此無名指、小只會麻木刺痛，與題目症狀相符,手部、腕部疾患及損傷重建治療,傅尹志,"The correct answer is A (Cubital tunnel syndrome) as it aligns with the symptoms of numbness in the little and ring fingers, indicating ulnar nerve compression."
9,"A senior high school boy received intensive golf training for 2 weeks. After training, he felt right elbow medial side severe pain during wrist in flexion position. Which tendon was most likely hurt?",Flexor carpi ulnaris,Brachialis,Extensor carpi radialis brevis,Pronator teres,A,"golf elbow 的疼痛點位於 medial epicondyle,發生在 pronator and flexor muscle insertion,而此位置為 Flexor carpi ulnaris tendon 的 insertion site",手部、腕部疾患及損傷重建治療,傅尹志,"The correct answer is A (Flexor carpi ulnaris) as the pain is associated with medial epicondyle injuries, which commonly involve this tendon."
10,Which bone fracture has a high complication rate of avascular necrosis?,talus,calcaneus,navicular,metatarsal bone,A,,足踝關節創傷、疾病及重建,黃鵬如,The correct answer is A (talus) as fractures of the talus are known to have a high risk of avascular necrosis due to its blood supply.
11,"About the optimal position for performing ankle arthrodesis, which one is incorrect?",sagittal plane: 90 degrees neutral dorsiflexion,foot in 10 degrees external rotation,5 degrees hindfoot varus,talus slightly posterior shift,C,,足踝關節創傷、疾病及重建,黃鵬如,The correct answer is C (5 degrees hindfoot varus) as this position is not optimal for ankle arthrodesis.
12,"About the description of ankle fracture, which one is incorrect?",deltoid ligament rupture may occur in stage 1 pronation- abduction type fracture,lateral malleolar fracture may occurs in stage 1 supination- ext. rotation type fracture,Medial malleolar fracture may occur in stage 4 supination- ext. rotation type fracture,lateral malleolar fracture may occur in stage 1 supination- adduction type fracture,B,,足踝關節創傷、疾病及重建,黃鵬如,The correct answer is B (lateral malleolar fracture may occurs in stage 1 supination- ext. rotation type fracture) as this statement is incorrect regarding the types of fractures.
13,Which of the following statements about the three-column model of spine is incorrect?,Posterior longitudinal ligament is located in the middle column of spine,The facet joint capsule is one of the components of the posterior ligamentous complex and is located in the posterior column of spine,Vertebral body spans from the anterior column to the posterior column of spine,The ligamentum flavum is located in the posterior column of the spine,C,,肌肉骨骼影像解剖學-脊椎,高志銘,The correct answer is C (Vertebral body spans from the anterior column to the posterior column of spine) as this statement is incorrect regarding the three-column model.
14,Which statement about lumbar spine x-rays is incorrect?,"Oblique view is often used to detect pars fractures, and the pars interarticularis is located in the neck of the Scotty Dog in x-ray.",The structure pointed by the arrow in the X-ray below is the facet joint of lumbar spine.,The structure pointed by the arrows in these two X-ray pictures above is the pedicle of the lumbar spine.,"In an oblique view, a Scotty Dog's tail fracture can be seen in the patient with a fracture of the transverse process of spine.",D,"In an oblique view, a Scotty Dog's tail fracture can be seen in the patient with a fracture of the superior articular process of opposite side of spine.",肌肉骨骼影像解剖學-脊椎,高志銘,
15,Which of the following statements about the radiologic anatomy of spine is correct?,The structure pointed by the arrow in the T2-weighted image of MRI below is the cauda equina.,"In the T1-weighted image of MRI, the intervertebral disc and fat tissue both appear as a relative high signal intensity.",Standard cervical spine lateral view can be used to examine the vertebral body of the Atlas.,The normal thickness of the pre-vertebral soft tissue in the lateral view of cervical spine x-ray should be less than 7mm at C6 level.,A,(B) (C)Atlas沒有vertebral body (D),肌肉骨骼影像解剖學-脊椎,高志銘,
16,Which option is not suggested for management of soft tissue injury in acute phase?,Elevation,Protection,Vascularisation,Compression,C,急性期的處理方式: PEACE，沒有Vascularisation !,骨科復建,曾昱璇,
17,Which description as below about hamstring injury is incorrect?,We can use sonography for grading the severity of hamstring injury.,Acute overload happens when the muscle is near full flexion or full extension.,Hamstring is usually injured when forceful concentric contractions.,The strength ratio should improve to an isokinetic strength ratio of 0.6 hamstrings to quadriceps before return to most sports.,C,應該改成eccentric contractions (離心收縮),骨科復建,曾昱璇,
18,Which description as below about finger flexor tendon rupture is incorrect?,Zone III is called as no man's land.,Zone IV is within the carpal tunnel.,"In acute phase, dorsal blocking splint is usually prescribed for positioning.",Dorsal blocking splint limits the amount of active and passive finger extension to prevent possible tendon rupture.,A,(A)應該為Zone II,骨科復建,曾昱璇,
19,Which molecule is NOT typically involved in the fracture healing process?,IL-1β,TNFα,IL-9,VEGF,C,在老師講義中可看到IL-1β及VEGF皆與骨折修復有關，而雖然TNF-α在講義裡沒出現，但它與發炎有關，且發炎為骨折修復的重要一部分。IL-9 老師完全沒講到，上網查了一下它跟造血比較有關，跟骨折比較沒有直接關係，所以是這題的最佳選擇。,骨折的生物力學及癒合,劉文智,
