id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,Which method is best for observing the migration of single osteoclasts?,Transwell migration assay,Time-lapse recording,Calvarium defect healing assay,Immunohistochemistry staining (IHC),B,,骨科學研究的細胞生理與動物模式(實驗),鄭琮霖,"The correct answer is B, as time-lapse recording is a suitable method for observing the migration of single osteoclasts, allowing for real-time analysis of their movement."
2,"In the process of muscle wound healing, the role of macrophages does NOT include which of the following?",Acting as a defense role near the wound during the early stages of wound formation and healing to prevent infection.,Playing a role in clearing dead cells and tissues near the wound.,Sustaining inflammation throughout the healing process to promote cell proliferation.,Promoting angiogenesis signals to enhance the ability of blood vessel formation near the wound.,C,"(C) 巨噬細胞既促進也解決發炎,而不是持續維持發炎狀態",肌肉骨骼免疫學,李英瑞,"The correct answer is C, as macrophages play a role in both promoting and resolving inflammation, rather than sustaining inflammation throughout the healing process."
3,Which of the following statements about sarcopenia is incorrect?,"An increase in M2 macrophage activation is often observed in patients, resulting in long-term chronic inflammation.",Patients exhibit high levels of IL-6 and IL-1β.,Aerobic exercise can reduce chronic inflammation in the body.,Microbial infections (such as SARS-COVID-2) may increase the risk of the disease.,A,(A)錯誤。肌少症的病人是M1增加。,肌肉骨骼免疫學,李英瑞,"The correct answer is A, as patients with sarcopenia typically show an increase in M1 macrophage activation, not M2."
4,Which of the following statements about rheumatoid arthritis is incorrect?,Abnormal activation of Th17 cells is often observed in patients.,Autoantibodies are present in patients.,The cause is due to a combination of various environmental factors and genetic inheritance.,IL-1β-blocking agents are commonly used for treatment.,D,(D)選項並不適合，能用在RA的應該是IL-1受體拮抗劑(IL-1 RA)，但這支藥臨床上治療效果並不佳，且台灣並為引進；較常用且有效的生物製劑為TNF-α blockers。,肌肉骨骼免疫學,李英瑞,"The correct answer is D, as IL-1β-blocking agents are not commonly used for rheumatoid arthritis treatment; instead, TNF-α blockers are more effective."
5,Which of the following is right?,Receptor activator nuclear K ligand (RANKL) can inhibit proliferation of osteoclast and induce the apoptosis of osteoclast,Selective estrogen receptor modulator (SERM) may lead to the side effect of leg cramps,Selective estrogen receptor modulator (SERM) can reduce hip fracture rate,Bisphosphonates do not increase the risk of throboembolis,B,,骨質疏鬆藥物之藥物學,陳崇桓,"The correct answer is B, as selective estrogen receptor modulators (SERMs) are known to potentially cause side effects such as leg cramps."
6,Which of the following is right?,It takes about one month to achieve the effect of fracture reduction by anti-osteoporotic medication,Teriparatide can activate T cell lead to acute phase reaction,Teriparatide can have drug holiday,Anti-sclerostin antibody cannot be use in those who have myocardial infarction or stroke within one year,D,"(A)治療需一年以上才可達減少骨折之效果

(B)bisphosphonates才會引起acute phase reaction

(C)bisphosphonates才能有drug holiday",骨質疏鬆藥物之藥物學,陳崇桓,
7,Which of the following is right?,Selective estrogen receptor modulator (SERM) m cannot be use in those who have poor renal function,Prolong Selective estrogen receptor modulator (SERM) m will lead to the risk of osteosarcoma,Oral bisphosphonates is absorbed well with a absorption rate about 90%,Zolendronate (Zolendronic acid) can efficiently reduce hip fracture,D,"(A)是Bisphosphonates的禁忌症

(B)是PTH類的副作用

(C)很低，不到1%才對

(D)正確",骨質疏鬆藥物之藥物學,陳崇桓,
8,Miss Lin is a volleyball player in Kaohsiung medical university. She sustained right shoulder pain after shoulder overhead motion during volleyball training. Which statement is “not” right?,"The image examination of X ray should include shoulder AP view, scapular Y view or axillary view.",The “Superior labrum Anterior to posterior injury” is the possible etiology in this case.,Rotator cuff injury should be considered in this case.,"To survey the soft tissue injury in shoulder joint, CT is preferred.",D,"考古
(D)老師上課有提到，若懷疑軟組織受傷，可以照MRI確認受傷位置",肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,
9,"Mr. Wang is a pitcher of Chinese Professional Baseball League, he complained of right elbow ulna side pain after throwing, which statement is right?",Ulnar nerve function should not be checked,“Tennis elbow” should be first considered.,Valgus stress test is most important physical examination to check ulnar collateral ligament function.,The most common pitcher’s elbow ligament injury is radial collateral ligament injury.,C,"(A)應改為should be checked
(B)tennis elbow 在外側，應不考慮
(D)最常見的為ulnar collateral ligament",肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,
10,"Mr. Lu complained of right shoulder pain after work. He visited Orthopedic clinic, which items should consider to make the differential diagnosis of shoulder pain?",X-ray. b. Income. c. Physical examination. d. Patient’s age. e. Occupation. f. Shoulder anatomy. g. Injury History,"a,b,c,d,e,f.","a, c,d.","a,c,d,e,f,g.",C,只有b.薪資不列入鑑別診斷,肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,
