id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,ai_explanation
1,下列位於腦幹的神經核中，那一神經核與小腦（cerebellum）有直接且大量的神經纖維連結？,動眼神經核（oculomotor nucleus）,三叉神經脊髓核（spinal trigeminal nucleus）,三叉神經橋腦核（pontine trigeminal nucleus）,前庭神經核（vestibular nucleus）,D,,解剖學,前庭神經核與小腦有直接且大量的神經纖維連結，這對於平衡和運動協調至關重要。小腦在調節運動和維持平衡方面扮演重要角色，而前庭神經核則負責處理來自內耳的平衡信息。
2,視覺皮質（primary visual cortex）主要由下列何者供應血液？,上小腦動脈（superior cerebellar artery）,前大腦動脈（anterior cerebral artery）,中大腦動脈（middle cerebral artery）,後大腦動脈（posterior cerebral artery）,D,,解剖學,視覺皮質主要由後大腦動脈供應血液，這是因為後大腦動脈直接供應大腦的視覺區域，確保視覺信息的處理和傳遞。
3,基底核（basal ganglia）傳出的神經纖維進入下列丘腦（thalamus）的那一個核區？,腹前側核（ventral anterior nuclei）,前側核（anterior nuclei）,腹後外側核（ventral posterior lateral nuclei）,腹後內側核（ventral posterior medial nuclei）,A,,解剖學,基底核的神經纖維主要通過腹前側核進入丘腦，這對於運動控制和調節運動的精確性至關重要。腹前側核在運動計劃和執行中扮演重要角色。
4,從大腦皮質發出至脊髓的大腦皮質脊髓徑（corticospinal tract），一般不通過下列何處？,延腦的錐體（pyramid of medulla oblongata）,中腦的基底腳（basis pedunculi of midbrain）,橋腦的基部（basilar pons）,內囊的前肢（anterior limb of internal capsule）,C,,解剖學,大腦皮質脊髓徑通常會通過延腦的錐體和內囊的前肢，但不會直接通過橋腦的基部。這是因為橋腦主要是神經纖維的交匯點，而不是主要的傳導路徑。
5,在牽張反射（muscle stretch reflex）中，負責將高基氏肌腱受器（Golgi tendon organ）的訊號往脊髓傳送的神經纖維屬於下列何種類型？,group Ia,group Ib,Aδ,C,B,,生理學,在牽張反射中，負責傳遞高基氏肌腱受器訊號的神經纖維是group Ib纖維，這些纖維對肌腱的張力變化非常敏感，並在反射弧中起到重要作用。
6,下列何者位於大腦額葉？,angular gyrus,Broca's area,transverse gyri of Heschl,cuneus,B,,解剖學,Broca's area位於大腦額葉，這個區域與語言產生和語言處理有關。它對於語言的流利性和語法結構的理解至關重要。
7,下列何者不含內淋巴液？,球囊（saccule）,橢圓囊（utricle）,耳蝸管（cochlear duct）,鼓室階（scala tympani）,D,,解剖學,鼓室階不含內淋巴液，因為它是耳蝸的外淋巴液部分，而內淋巴液主要存在於耳蝸管、球囊和橢圓囊中。
8,下列神經與其支配肌肉之說明，何者錯誤？,滑車神經（trochlear nerve）支配上斜肌（superior oblique）,動眼神經（oculomotor nerve）支配下斜肌（inferior oblique）,動眼神經（oculomotor nerve）支配外直肌（lateral rectus）,動眼神經（oculomotor nerve）支配提上眼瞼肌（levator palpebrae superioris）,C,,解剖學,動眼神經（oculomotor nerve）並不支配外直肌（lateral rectus），而是由外展神經（abducens nerve）支配。這是常見的錯誤，因為動眼神經支配其他眼部肌肉。
9,下列何者與頰肌（buccinator）由相同的神經支配？,上直肌（superior rectus）,上斜肌（superior oblique）,外直肌（lateral rectus）,口輪匝肌（orbicularis oris）,D,,解剖學,頰肌（buccinator）和口輪匝肌（orbicularis oris）均由面神經（facial nerve）支配，這使得它們在口腔運動和表情中協同工作。
10,「新式骨傳導耳機」在傳遞聲波時，省去下列那一傳遞結構？,前庭耳蝸神經,柯蒂氏器,耳蝸,外聽道,D,,解剖學,新式骨傳導耳機透過骨骼傳導聲波，省略了外聽道的傳遞過程，直接將聲波傳遞至內耳，這使得耳機能夠在某些情況下使用於聽力受損者。
11,當舌神經（lingual nerve）於顳下窩（infratemporal fossa）內受損時，下列那種舌乳突（papillae）的一般感覺訊息傳遞最不可能受影響？,輪廓狀乳突,葉狀乳突,絲狀乳突,蕈狀乳突,C,,解剖學,舌神經主要負責傳遞輪廓狀乳突、葉狀乳突及蕈狀乳突的感覺，而絲狀乳突則不具味覺功能，因此在舌神經受損的情況下，絲狀乳突的感覺傳遞最不會受到影響。
12,下頷骨角（angle of mandible）處的皮膚喪失痛覺，最可能是下列那條神經受損？,頰神經,耳大神經,枕小神經,頦神經,B,,解剖學,耳大神經負責下頷骨角周圍皮膚的感覺，因此若該區域的皮膚喪失痛覺，最可能是耳大神經受損所致。
13,下列何者不參與形成翼腭窩（pterygopalatine fossa）？,蝶骨,顳骨,腭骨,上頷骨,B,,解剖學,翼腭窩是由蝶骨、腭骨和上頷骨共同形成的結構，而顳骨並不參與其形成，因此選擇顳骨作為答案。
14,下列何者不在頸部的肌三角（muscular triangle）內？,胸骨甲狀肌,甲狀腺,氣管,外頸動脈,D,,解剖學,頸部的肌三角主要包含胸骨甲狀肌、甲狀腺和氣管，而外頸動脈則屬於頸部的血管結構，不在肌三角內。
15,關於肋骨與胸廓（thoracic cage）的連接方式，下列敘述何者最恰當？,第一肋骨一般與第一胸椎以及第七頸椎相接,第九肋骨和胸骨，通常直接相連接,第六肋骨與第六胸椎的下肋關節面相連接,第十一胸椎通常不含橫肋關節面，因此第十一肋骨只有其頭端和第十一胸椎相接,D,,解剖學,第十一胸椎通常不具橫肋關節面，因此第十一肋骨僅與其頭端相接，這是肋骨與胸廓連接的特點之一。
16,一般情況下，下列何者負責將血壓與血液化學變化訊息傳入中樞神經系統以參與心臟反射？,迷走神經,頸部交感神經,胸部交感神經,胸部內臟神經,A,,生理學,迷走神經在心臟反射中扮演重要角色，負責將血壓和血液化學變化的訊息傳遞至中樞神經系統，進而調節心臟功能。
17,有關心包膜橫竇（transverse pericardial sinus）的解剖位置描述，下列何者最恰當？,位在上腔靜脈的前方,位在肺靜脈的後方,位在左心房下方,位在肺動脈幹與主動脈之間,D,,解剖學,心包膜橫竇位於肺動脈幹與主動脈之間，這是其解剖位置的特徵，對於心臟手術時的操作非常重要。
18,下列那部分的冠狀動脈栓塞最不可能造成左心房、左心室前壁與側壁、心尖以及心室中隔缺氧？,前室間支,後室間支,右邊緣支,左迴旋支,C,,解剖學,右邊緣支主要供應右心室，對於左心房和左心室的缺氧影響較小，因此其栓塞最不可能造成左心房、左心室前壁與側壁、心尖以及心室中隔的缺氧。
19,下列何者不具備腸繫膜（mesentery）的構造？,十二指腸下降段,闌尾,乙狀結腸,橫結腸,A,,解剖學,十二指腸下降段通常不具備腸繫膜，因為它是固定在腹壁上的，而其他選項如闌尾、乙狀結腸和橫結腸則具備腸繫膜的結構。
20,支配胃大彎處（greater curvature of the stomach）的左胃網膜動脈（left gastroepiploic artery），源自下列那條動脈？,總肝動脈（common hepatic artery）,左胃動脈（left gastric artery）,後胃動脈（posterior gastric artery）,脾動脈（splenic artery）,D,,解剖學,左胃網膜動脈是由脾動脈分支而來，主要供應胃的大彎部分。這條動脈在解剖學上與脾臟的血供有密切關聯，因此選擇脾動脈作為正確答案。
21,前腹壁內面的臍內側韌帶（medial umbilical fold），是因腹膜（peritoneum）包覆下列何種結構所形成？,輸精管（vas deferens）,臍動脈（umbilical artery）,上腹壁動脈（superior epigastric artery）,肝靜脈（hepatic vein）,B,,解剖學,臍內側韌帶是由臍動脈的殘留物形成的，這些動脈在胎兒發育期間負責將氧合血液從母體運送到胎兒。臍動脈在出生後變成韌帶，形成臍內側韌帶。
