id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,下列關於胃癌的敍述何者為是?,"(1) 胃間質瘤(GIST)屬於 non-epithelial origin, 內視鏡下常以黏膜下腫瘤表現",(1)+(2)+(4),(2)+(3)+(4),(1)+(2)+(3)+(4),B,,胃腫瘤,,胃癌的分類及其特徵是臨床醫學中重要的知識。胃間質瘤(GIST)是一種源自間質的腫瘤，通常在內視鏡下表現為黏膜下腫瘤。胃淋巴癌是胃部常見的惡性腫瘤之一。關於胃腺癌，diffuse type 與遺傳有關，且其發生位置與intestinal type相反，後者多見於胃的遠端。這些知識對於診斷及治療胃癌至關重要，正確理解這些特徵有助於臨床決策。
2,關於胃腺癌(adenocarcinoma)的症狀和治療何者不正確?,"免疫療法在轉移性胃癌的療效顯著,近年的研究己證實可作為一線治療",晚期胃癌可能出現 Sister Mary Joseph nodes,早期胃癌引起的胃痛比其他胃部疾病如潰瘍、消化不良等嚴重,台灣及日本等國胃癌的標準術式是胃切除併 D2 淋巴結摘除,C,,胃腫瘤,,胃腺癌的症狀及治療方式是臨床上重要的議題。免疫療法在轉移性胃癌的應用逐漸受到重視，但並非所有情況下都是一線治療。早期胃癌的症狀往往不明顯，與其他胃部疾病如潰瘍或消化不良相似，因此不易區分。這使得早期診斷變得困難，且可能導致延誤治療。了解這些症狀及其治療選擇對於醫療人員及患者均有重要意義。
3,下列選項關於腸道 Intraepithelial lymphocytes (IELs)的敘述，何者正確?,IELs 都是 CD4 陽性T 細胞,IELs 都是 CD8 陽性T 細胞,IELs 都是巨噬細胞(Macrophages),IELs 都是樹突細胞(Dendritic cells),B,,消化系統免疫學,,腸道內的Intraepithelial lymphocytes (IELs)主要是CD8陽性T細胞，這些細胞在腸道的免疫防禦中扮演重要角色。IELs能夠直接識別和殺死受感染的細胞，並且在維持腸道的免疫穩定性方面也有重要作用。這些細胞的存在有助於防止腸道感染及腸道自身免疫疾病的發生。了解IELs的功能及其在腸道免疫中的角色對於研究腸道健康及疾病具有重要意義。
4,下列選項關於腸道微生物相(Gut Microbiota)的敘述，何者錯誤?,促進腸上皮細胞(Gut epithelial cells)分泌細胞激素(Cytokines),促進 TH17 輔助型T 細胞(helper T cells),抑制調節性T 細胞(Regulatory T cells),促進 IgA 製造,C,,消化系統免疫學,,腸道微生物相在維持腸道健康及免疫系統功能中扮演著關鍵角色。它們不僅能促進腸上皮細胞分泌細胞激素，還能促進TH17輔助型T細胞的活化，這對於抵抗腸道感染至關重要。相反地，腸道微生物相實際上是促進調節性T細胞的生成，而非抑制它們。調節性T細胞在防止自身免疫反應及維持免疫耐受性方面具有重要作用。因此，了解腸道微生物相的功能對於研究腸道健康及疾病的發展至關重要。
5,接受胃切除手術後，以 Billroth II吻合進行胃腸道重建可能會發生以下缺點，何者為非？,膽汁逆流 (biliary reflux),傾食症候群 (dumping syndrome),盲端症候群 (sump syndrome),腹腔內疝氣 (internal herniation),C,,胃腫瘤及消化性潰瘍之外科治療,,Billroth II吻合術是一種常見的胃腸道重建手術，主要用於胃切除後的重建。這種手術可能會導致多種併發症，包括膽汁逆流和傾食症候群。膽汁逆流是由於膽汁進入腸道的異常流動，而傾食症候群則是因為食物快速進入小腸引起的症狀。盲端症候群則主要與側側膽道十二指腸吻合術有關，因此在此手術中不會發生。了解這些併發症對於術後管理及患者的預後具有重要意義。
6,腹腔鏡膽囊切除術 (laparoscopic cholecystectomy) 相較於傳統開腹膽囊切除術 (open cholecystectomy)，何者為非？,手術時間較長,病人恢復較快,術後腹部傷疤較不明顯,較少發生膽道損傷等併發症,D,,消化道臨床解剖學,,腹腔鏡膽囊切除術是一種微創手術，相較於傳統的開腹手術，通常具有更快的恢復時間和較小的術後傷疤。然而，腹腔鏡手術並不一定會減少所有類型的併發症，特別是膽道損傷的風險。在某些情況下，腹腔鏡手術可能會面臨更高的膽道損傷風險，這是醫生在選擇手術方式時需要考慮的重要因素。因此，了解這些風險對於患者的術後預後及醫療決策至關重要。
7,擴大右肝切除術 (extended right hepatectomy)，切除的部分不包括以下何者？,第三肝節 (hepatic segment 3),第四肝節 (hepatic segment 4),第五肝節 (hepatic segment 5),第六肝節 (hepatic segment 6),A,,消化道臨床解剖學,,擴大右肝切除術是一種針對肝臟腫瘤的外科手術，通常涉及切除右肝的多個肝節。根據解剖學，右肝由第四至第八肝節組成，因此在此手術中，第三肝節不會被切除。了解肝臟的解剖結構及其在手術中的重要性對於外科醫生及患者均有重要意義，因為這影響到手術的成功率及術後的肝功能恢復。
8,"施行胰頭十二指腸切除術 (pancreatoduodenectomy, Whipple procedure)，需要切斷以下的構造，何者除外？",胃十二脂腸動脈 (gastroduodenal artery),下胰十二指腸動脈 (inferior pancreaticoduodenal artery),右胃動脈 (right gastric artery),左胃動脈 (left gastric artery),D,,消化道臨床解剖學,,胰頭十二指腸切除術是一種複雜的外科手術，主要用於治療胰腺癌及其他胰腺疾病。在此手術中，通常需要切斷多條重要的血管，包括胃十二脂腸動脈和下胰十二指腸動脈。然而，左胃動脈通常不會被切斷，因為它供應胃的血液，保留這條血管對於術後胃的功能至關重要。了解這些血管的解剖位置及其在手術中的角色對於外科醫生的手術計劃及患者的術後恢復具有重要意義。
9,下列何者不是胃腺(gastric gland)的細胞？,主細胞(chief cell),吸收細胞(absorptivecell),壁細胞(parietal cell),腸道內分泌細胞(intestinal endocrine cell),B,,消化系統生理學(II)：肝、膽、胰,,胃腺是胃內重要的腺體，主要負責分泌胃酸和消化酶。主細胞和壁細胞是胃腺的主要細胞，前者負責分泌消化酶，後者則分泌鹽酸。吸收細胞並不是胃腺的組成部分，因為胃的主要功能是消化而非吸收。腸道內分泌細胞則主要存在於小腸中，負責分泌激素以調節消化過程。了解胃腺的細胞組成及其功能對於研究消化系統的生理學具有重要意義。
10,食物入胃前，食物對嗅覺、視覺及味覺的刺激可促使胃腺的分泌，這是屬於消化液分泌控制的哪一階段？,頭期,胃期,腸期,消化期,A,,消化系統生理學(II)：肝、膽、胰,,消化液的分泌控制可分為三個階段：頭期、胃期和腸期。頭期是指食物進入胃之前，透過嗅覺、視覺和味覺的刺激，促使胃腺分泌胃酸和消化酶。這一過程主要受到迷走神經的調控，對於準備消化食物至關重要。了解這一階段的生理機制有助於深入理解消化過程及其調控，並對臨床上消化系統疾病的預防和治療提供指導。
11,消化道的肌肉與神經組織中哪一層具備有黏膜肌?,漿液層,平滑肌,黏膜下層,黏膜層,D,,消化系統生理學(II)：肝、膽、胰,,消化道的結構由多層組織構成，其中黏膜層是最內層，負責分泌和吸收功能。黏膜肌是位於黏膜層內的一種平滑肌，主要功能是促進腸道的運動，幫助食物的推進和混合。漿液層和黏膜下層則不具備黏膜肌的特性，因此正確答案為黏膜層。
12,下列胃腸道器官的基礎電節律(Basic electric rhythm)是最慢的?,stomach,duodenum,distal ileum,cecum,D,,消化系統生理學(II)：肝、膽、胰,,胃腸道的基礎電節律是指腸道平滑肌的自發性電活動，這種活動對腸道的運動至關重要。不同部位的基礎電節律有所不同，其中盲腸的電節律最慢，這使得食物在此處停留的時間較長，有助於水分的吸收和消化過程的完成。
13,"下列敘述,何者錯誤?",pseudomembranous colitis 的主要致病菌是 Clostridium difficile,Bacteroides fragilis 是內生性也是外源性感染之致病菌,引起 gas gangrene 的主要致病菌是 Clostridium perfringens,上述三種細菌皆是厭氧菌,B,,消化系統之細菌感染,,Bacteroides fragilis 是一種常見的腸道菌，雖然它可以引起感染，但主要是內生性感染，並不常見於外源性感染。這使得選項B的描述不正確。其他選項均正確，因為Clostridium difficile和Clostridium perfringens都是厭氧菌，且與特定的感染有關。
14,下列對Clostridium septicum（敗血梭狀芽胞桿菌）之敘述何者錯誤?,引起myonecrosis 之相關致病菌,感染被認為是因腸道黏膜完整性受損，透過血源性傳播引起菌血症及組織感染,與腸道開刀後續引發之組織感染、壞死有關,"此菌侵襲性(invasive)強,因此感染之病灶會急速外擴、病程進展快速",C,,消化系統之細菌感染,,Clostridium septicum 是一種厭氧菌，通常與腸道的完整性受損有關，並可引起嚴重的感染。選項C的描述不正確，因為該菌的感染通常與腸道的完整性受損有關，而不是單純的手術後感染。這使得其病灶的擴展速度和病程進展的描述不夠準確。
15,以下何者是前腸foregut 或前腸衍生物 foregut derivatives 發育而來？,胰臟 pancreas,降結腸 descending colon,空腸 jejunum,十二指腸遠端 distal part of duodenum,A,,消化系統胚胎學,,前腸（foregut）是消化系統發育的早期部分，胰臟是由前腸衍生而來的器官。降結腸則來自後腸（hindgut），而空腸和十二指腸遠端則來自中腸（midgut）。因此，正確答案為胰臟，因為它是唯一來自前腸的選項。
16,下列那個器官為中腸尾端 caudal limb of midgut 發育而來？,脾臟 spleen,胰臟的尾部 tail of pancreas,空腸 jejunum,迴腸下段,D,,消化系統胚胎學,,中腸的尾端（caudal limb of midgut）主要發育成為迴腸下段。脾臟和胰臟的尾部則分別來自背側胃繫膜和前腸，而空腸則來自中腸的頭端（cranial limb）。因此，正確答案是迴腸下段，因為它是中腸尾端的直接衍生物。
17,以下關於梅克爾憩室Meckel’s diverticulum 何者為非？,又稱迴腸憩室,卵黃管 vitelline duct 退化不全所導致,糞便會從肚臍處漏出,最常見的消化道異常,C,,消化系統胚胎學,,梅克爾憩室是由卵黃管的退化不全所形成的，通常位於迴腸附近。雖然它是最常見的消化道異常之一，但糞便從肚臍處漏出並不是梅克爾憩室的特徵。這種情況通常是由於其他病理狀況引起的，因此選項C的描述是錯誤的。
18,以下何者為後腸hindgut發育而來 ?,升結腸 ascending colon,脾臟 spleen,近端橫結腸 proximal transverse colon,降結腸 descending colon,D,,消化系統胚胎學,,後腸（hindgut）是消化系統的一部分，主要發育成為降結腸、直腸及上肛管等結構。升結腸和近端橫結腸則來自中腸（midgut），而脾臟則是由背側胃繫膜的間質細胞發育而來。因此，正確答案是降結腸，因為它是後腸的直接衍生物。
19,下列部位何處每日吸收水份量最多?,Ascending colon,Jejunum,Cecum,Duodenum,B,,消化系統簡介,,小腸的空腸（jejunum）是水分吸收的主要部位，每日吸收的水分量最多。這是因為空腸的表面積大，且有大量的絨毛和微絨毛，能有效地進行水分和營養物質的吸收。其他部位如升結腸和盲腸也有水分吸收，但相對於空腸而言，吸收量較少。
20,下列何者為可能造成急性腹瀉的原因?(1)細菌感染 (2)抗生素 (3)甲狀腺機能低下 (4)藥物,(1)細菌感染 (2)抗生素,(1) + (2) + (4),(1) + (2) + (3),(1) + (2) + (3) + (4),B,,消化系統簡介,,急性腹瀉的原因多樣，常見的包括細菌感染和某些藥物的使用，特別是抗生素，因為它們可能會破壞腸道的正常菌群，導致腹瀉。選項B包含了細菌感染和抗生素的組合，這是造成急性腹瀉的主要原因之一。其他選項雖然也可能包含一些原因，但不如選項B的組合來得直接和明確。
21,Enteropathy-associated T-cell lymphoma 與什麼疾病最相關?,Crohn's disease,ulcerative colitis,tuberculosis,Celiac Disease,D,,消化道病理學(I),,Enteropathy-associated T-cell lymphoma (EATL) 是一種與腸道疾病相關的淋巴瘤，特別是與乳糜瀉（Celiac Disease）有著密切的關聯。乳糜瀉是一種由於對麩質的免疫反應引起的腸道疾病，長期的腸道炎症可能導致腸道內的T細胞異常增生，最終發展為EATL。這種淋巴瘤通常在乳糜瀉患者中發現，且其發病率在這些患者中顯著增加。因此，選擇Celiac Disease作為正確答案是基於其與EATL之間的病理關聯。
22,有關巴雷特氏食道（Barrett esophagus）的敘述，下列何者最錯誤？,最好發於多飲酒之歐洲男性,是逆流性食道炎（reflux esophagitis）的併發症,是食道腺癌（adenocarcinoma）的危險因子之一,組織學特徵是在食道黏膜看見戒環狀(signet-ring)細胞,D,,消化道病理學(I),,巴雷特氏食道是一種由於長期的胃食道逆流病（GERD）引起的食道黏膜變化，通常會導致食道上皮由鱗狀上皮轉變為柱狀上皮。這種變化使得患者有更高的食道腺癌風險。選項D提到的戒環狀細胞（signet-ring cells）並不是巴雷特氏食道的特徵，而是與胃腺癌的擴散型有關，因此是錯誤的敘述。正確的組織學特徵應該是柱狀上皮中出現的杯狀細胞。
23,下列何種組織型態預後最好?,"appendiceal neuroendocrine tumor, grade 1.",Adenocarcinoma,small cell carcinoma,clear cell sarcoma,A,,消化道病理學(I),,在各種腫瘤中，闌尾神經內分泌腫瘤（grade 1）通常被認為是預後最好的類型。這類腫瘤的生長速度較慢，且在早期發現時，通常可以通過手術切除達到治癒。相對而言，腺癌、小細胞癌和透明細胞肉瘤的惡性程度較高，且在診斷時往往已經進展到晚期，這使得它們的預後較差。因此，選擇A作為正確答案是基於其相對較低的惡性程度和良好的預後。
24,下列何種腸道阿米巴致病性最高?,Amoeba histolytica,Entamoeba dispar,Entamoeba invadens,Entamoeba polecki,A,,消化道病理學(I),,Amoeba histolytica 是一種致病性阿米巴，主要引起阿米巴性腸炎和肝膿腫。它的致病性主要來自於其能夠侵入腸道上皮細胞，導致組織壞死和炎症反應。相比之下，Entamoeba dispar 和 Entamoeba polecki 通常被認為是非致病性或低致病性的阿米巴，而Entamoeba invadens則主要影響爬蟲類動物。因此，Amoeba histolytica 是這些選項中致病性最高的。
25,下列何者在粘膜下層(submucosa)會有腺體 (submucosal gland)?,十二指腸 (duodenum),空腸 (jejunum),胃 (stomach),直腸 (rectum),A,,消化系統組織學,,在消化道中，十二指腸的粘膜下層含有Brunner's glands，這些腺體主要分泌鹼性液體以中和胃酸，並提供適合腸道內消化酶的環境。相比之下，空腸、胃和直腸的粘膜下層並不具備這種腺體。因此，選擇A作為正確答案是基於其特有的腺體結構。
