id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,Which of the following methods is more suitable for observing the mineralization ability of osteoblasts?,Alizarin-Red staining,Jennifer-Yellowing staining,Turkiye-blue staining,Hermès-Green staining,A,,骨科學研究的細胞生理與動物模式,鄭琮霖,"Alizarin-Red staining is a well-known method for detecting mineralization in osteoblasts, making it the correct choice."
2,What is incorrect regarding the functions of Macrophage in wound healing and fracture healing?,It can promote and resolve inflammation of the healing process.,It can remove death cells.,It can provide signal molecules for healing process.,It can provide factors to against angiogenesis.,D,(D) 由表格中得知，在Proliferation Phase，Macrophage會產生信號以進行angiogenesis.,肌肉骨骼免疫學,李英瑞,Option D is incorrect because macrophages actually promote angiogenesis during the healing process.
3,Immunity dysregulation is an important issue for sarcopenia. What is correct in the following?,"The immunity in the old persons is high comparing young person, which will elevate chronical infections to induce a chronical inflammation to enhance the risk of sarcopenia.",The overexpression IL-6 can be found in the patients with sarcopenia to reduce immunity.,Exercise can provide benefit for patients with sarcopenia to reduce chronic inflammation and slow the progression.,Elevating M1 macrophage can reduce chronic inflammation and help muscle regeneration.,C,,肌肉骨骼免疫學,李英瑞,Option C is correct as exercise has been shown to reduce chronic inflammation and slow the progression of sarcopenia.
4,Immune-regulation is one of the factors of rheumatoid arthritis. What is incorrect in the following?,Autoimmunity isn’t the issue for rheumatoid arthritis.,"TH17 cells will release IL-1 and IL-17 and promote chondrocytes from matrix synthesis to be matrix degradation type, and elevating rheumatoid arthritis.",Tumor-necrosis factor (TNF) will promote osteoclast differentiation and contributing on rheumatoid arthritis.,Numbers of environmental and genetic factors are associated with immune-regulation and disease incidence.,A,(A) RA為自體免疫疾病,肌肉骨骼免疫學,李英瑞,Option A is incorrect because rheumatoid arthritis is indeed an autoimmune disease.
5,What factor would affect the blood supply of fractures?,The mechanism of injury,Early fixation,The choice of surgical approaches,All of above,D,,骨折的生物力學與癒合,李天慶,"All of the listed factors can affect the blood supply to fractures, making D the correct answer."
6,Which statement about the types of fracture healing is CORRECT?,The primary bone healing depends on relative stability.,The secondary bone healing needs absolute stability to induce callus formation.,The most common type of fracture healing is secondary bone healing.,The secondary bone healing is a process of osteonal bone remodeling.,C,,骨折的生物力學與癒合,李天慶,Option C is correct as secondary bone healing is indeed the most common type of fracture healing.
7,Which kind of implants would “least” cause the primary bone healing?,Intramedullary nails,Tension band wires,Compression plates,Buttress plates,A,"Primary bone healing要求的是absolute stability，secondary bone healing則是relative stability，由共筆可見能提供relative stability 的surgery fixation是intramedullary nail, external fixators, and internal fixators。",骨折的生物力學與癒合,李天慶,"Intramedullary nails provide relative stability, which is not conducive to primary bone healing that requires absolute stability. Therefore, they are the least likely to cause primary bone healing."
8,Miss Lin is a volleyball player in KMU. She sustained right shoulder pain after shoulder overhead motion during volleyball training. Which statement is not right?,"The image examination of X ray should include shoulder AP view, scapular Y view or axillary view","The long head of biceps is inserted and connected with superior labrum of shoulder, which might injury in overhead motion",Rotator cuff injury is not possible in this case,"To survey the soft tissue injury in shoulder joint, MRI is preferred",C,"盧老師的考題愛考肩膀疾病的鑑別診斷，一定要背列入診斷考量的疾病種類，包括Bone, Cartilage, Capsule and ligament, Bursa, Tendon, Nerve這幾種。",肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,"Rotator cuff injuries can occur in various scenarios, including overhead motions, making the statement that they are not possible incorrect."
9,"Mr. Wang is a pitcher of Chinese Professional Baseball League, he complained of right elbow medial side pain after throwing, which statement is “not” right?",Ulnar nerve function should be checked.,“Tennis elbow” should be first considered.,Physical examination should include the elbow valgus stress test.,The most common pitcher’s ligament injury of elbow is ulnar collateral ligament injury.,B,(A) Ulnar nerve 在手臂內側，因此也要一併確認。(B) Tennis elbow是lateral epicondylitis，而Mr. Wang是medial side elbow pain，因此為錯誤選項。,肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,"Tennis elbow refers to lateral epicondylitis, which is not applicable in Mr. Wang's case of medial elbow pain, making option B incorrect."
10,"Mr. Chen complained of right shoulder pain after work. He visited an Orthopedic clinic, which items should consider to make the differential diagnosis of shoulder pain?",X-ray,Physical examination,Income,Patient’s age,C,,肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,"The correct combination of items for differential diagnosis should include all relevant clinical factors, making option C the most comprehensive choice."
