id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,Which of the following experimental methods would allow simultaneous observation of both migration and bone resorption activity in individual osteoclasts?,MicroCT,Bone resorption assay,Two Photone Time-Lapse recoding,Immunohistochemistry staining (IHC),C,（Ｃ）選項如老師講義所述，可以觀察蝕骨細胞的移動能力(migration)，在時間的移進之下，綠色細胞就是蝕骨細胞，後面黑色的路徑就是它走的路，同時因為它的移動能力就是來自分解骨質的活動度(bone resorption activity)，故為正確選項,骨科學研究的細胞生理與動物模式,鄭琮霖,"The correct answer is C, as the Two Photone Time-Lapse recording method allows for the observation of both the migration of osteoclasts and their bone resorption activity simultaneously."
2,Which of the following statements about the role of macrophages in the muscle wound healing process is incorrect?,"In the early stage of healing, they strengthen the local defense around the wound to prevent infection.",They clear dead cells and tissues near the wound to control inflammation.,They produce angiogenic signals to enhance neovascularization near the wound.,They continuously maintain wound inflammation during healing to promote cell proliferation.,D,(D)選項錯誤。因為在正常的癒合過程中，macrophages 會在初期促進發炎，但之後需「resolve inflammation」來進入修復階段，若持續維持發炎反而會導致 chronic wound。,肌肉骨骼免疫學,李英瑞,"The correct answer is D, as macrophages do not continuously maintain inflammation during healing; instead, they resolve inflammation to allow for the repair phase."
3,"Regarding the correct sequence of the four major stages of wound healing: ① Proliferation phase ② Hemostasis phase ③ Maturation phase ④ Inflammation phase, which is correct?",①②③④,②①④③,②④①③,④②①③,C,,肌肉骨骼免疫學,李英瑞,"The correct answer is C, as the proper sequence of wound healing stages is Hemostasis, Inflammation, Proliferation, and Maturation."
4,"Rheumatoid arthritis (RA) is a disease driven by multiple inflammatory factors (cytokines). In current clinical practice, what is the most commonly used therapeutic approach?","Anti-IL-17 therapy, drugs such as Secukinumab","Anti-TNF-α therapy, drugs such as Certolizumab","Anti-IL-1β therapy, drugs such as Anakinra","Anti-IFN-β therapy, drugs such as Anifrolumab",B,較常用且有效治療RA的生物製劑是TNF-alpha blocker（老師上課有說不是IL-1 receptor antagonist因為臨床是治療效果不佳）,肌肉骨骼免疫學,李英瑞,"The correct answer is B, as Anti-TNF-α therapy is the most commonly used and effective treatment for rheumatoid arthritis."
5,Which of the following is right?,Osteoprotegrin (OPG) can inhibit proliferation of osteoclast and induce the apoptosis of osteoclast,Bisphosphonates may lead to the side effect of leg cramps,Selective estrogen receptor modulator can reduce hip fracture rate,Bisphosphonates increase the risk of throboembolism,A,(A) 正確,骨質疏鬆藥物之藥物學,陳崇桓,"The correct answer is A, as Osteoprotegrin (OPG) is known to inhibit osteoclast proliferation and induce their apoptosis."
6,Which of the following is right?,It takes more than one year to achieve the effect of fracture reduction by anti-osteoporotic medication,Anti-sclerostin antibody can activate T cell lead to acute phase reaction,Selective estrogen receptor modulator can have drug holiday,Teriparatide cannot be use in those who have myocardial infarction or stroke,A,(A),骨質疏鬆藥物之藥物學,陳崇桓,"The correct answer is A, as it typically takes more than one year for anti-osteoporotic medications to show significant effects on fracture reduction."
7,Which of the following is right?,Teriparatide cannot be use in those who have poor renal function,Prolong anti-sclerostin antibody will lead to the risk of osteosarcoma,Oral bisphosphonates is absorbed well with a absorption rate about 90%,Denosumab can efficiently reduce hip fracture,D,(D),骨質疏鬆藥物之藥物學,陳崇桓,"The correct answer is D, as Denosumab has been shown to effectively reduce the risk of hip fractures."
8,What is the “Elbow terrible triad”? Which of the following are included?,Radial head fracture,Coronoid fracture,Elbow dislocation,All of the above,D,,肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,"The correct answer is D, as the 'Elbow terrible triad' includes radial head fracture, coronoid fracture, and elbow dislocation."
9,Shohei Ohtani experiences right shoulder pain after pitching. Which of the following is NOT correct?,A SLAP lesion (Superior Labrum Anterior to Posterior) is a possible cause in this case.,Injury to the biceps tendon does not need to be considered.,"In such cases, a rotator cuff injury should also be considered.",An MRI can be performed to evaluate possible soft tissue injuries.,B,,肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,"The correct answer is B, as injury to the biceps tendon is a significant consideration in cases of shoulder pain after pitching."
10,"Dr. Lu, an orthopedic surgeon, experiences shoulder pain after performing arthroscopic surgery. What factors should be considered when performing a differential diagnosis of shoulder pain?",X-ray examination,Income,Shoulder physical exam,Age,A,不用問薪水💰底下是老師DD的thinking pathway可以參考問了什麼考量了什麼 職業也很重要可以判斷可能造成受傷的原因,肩肘關節之骨科功能解剖學/骨科鑑別診斷,盧政昌,
