id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,以下何者不是小腸血管異常增生(angiodysplasia)之危險因子？,三尖瓣閉鎖(Tricuspid insufficiency)不全。,慢性阻塞性肺病。,慢性腎衰竭。,肝硬化。,A,,小腸疾病的診斷與治療,王耀廣,小腸血管異常增生（angiodysplasia）是一種血管發育異常，通常與老年人及某些心臟病（如主動脈狹窄）有關。此題的正確答案是A，因為三尖瓣閉鎖不全並不是已知的危險因子。相對地，慢性阻塞性肺病、慢性腎衰竭及肝硬化都可能與小腸血管異常增生有關，因為這些疾病可能導致全身性血流動力學的改變，進而影響腸道的血管健康。了解這些危險因子有助於臨床醫師在面對小腸出血的病人時，進行更精確的診斷與治療。
2,關於急性小腸出血的檢查，下列敍述何者為誤?,病人的生命徵象是決定檢查方式的重要依據。,小腸鏡可以進行止血，是已經確定出血位置時可優先考量的檢查方式。,如果出血位置無法判定，如選擇小腸鏡檢查，建議從口側進行。,老年人懷疑可能是小腸出血時，可優先執行 Meckel’s scan 來確認出血的原因。,D,,小腸疾病的診斷與治療,王耀廣,急性小腸出血的檢查方法多樣，選擇合適的檢查方式取決於病人的臨床狀況及出血的特徵。選項D是錯誤的，因為Meckel's憩室通常在年輕人中更常見，而不是老年人。對於老年患者，應考慮其他檢查方法，如內視鏡檢查或影像學檢查，以確定出血的來源。選項A、B和C均為正確的敘述，強調了生命徵象的重要性及小腸鏡的應用。
3,下列敘述何者正確?,人體內的膽汁(bile juice)是由膽囊(Gallbladder)製造產生,Bile 中的 bilirubin 主要是人體內 heme 代謝後的產物,cholesterol gallstone 的形成主要是和膽道系統發生細菌感染有關,pregnancy 是膽石症相關的 risk factor，主要是因為懷孕過程中 progesterone 會增加 bile acid 的分泌以及膽囊收縮排空的能力,B,,膽結石及先天性膽道疾病,王森稔,膽汁是由肝臟製造並儲存在膽囊中，這是人體消化過程中不可或缺的部分。選項B正確地指出，膽汁中的膽紅素是由血紅素代謝產生的，這一過程對於清除體內的廢物至關重要。其他選項中，膽囊並不製造膽汁，而是儲存；膽固醇結石的形成與膽道感染的關聯性較低；懷孕確實會影響膽汁的組成和膽囊的功能，但並非唯一的危險因子。了解這些知識對於臨床診斷和治療膽道疾病至關重要。
4,下列敘述何者正確?,Gallstone 所引起的 biliary colic 是指病人的上腹疼痛通常和進食無關，但常合併有後背痛或右肩疼痛的情形,Charcot’s triad 描述 acute cholangitis 病人的常見症狀，包括: 腹痛、發燒及黃疸,Gallstone ileus 常發生在老人家，其 cholecystoenteric fistula 最常發生在 stomach,Todani classification 描述 Choledochal cyst 的不同型態，其中 type 2 臨床上最常見,B,,膽結石及先天性膽道疾病,王森稔,膽石症引起的膽道絞痛通常與進食有關，特別是高脂肪餐後，這是因為膽囊收縮以釋放膽汁來消化脂肪。選項B正確，Charcot三聯徵是急性膽管炎的經典症狀，包含腹痛、發燒和黃疸。選項C的描述不正確，因為膽囊腸瘺最常見於十二指腸，而非胃。選項D也不正確，因為Todani分類中，Ia型是最常見的型態。這些知識對於臨床醫師在診斷和治療膽道疾病時至關重要。
5,放置鼻胃管相關細節，下列何者不正確?,將床頭抬高 30～60 度,測量鼻胃管所需放入之長度，大約是從鼻孔到耳根的距離加上耳根到劍突末端的距離,鼻胃管前端朝下，管子的彎度順著鼻孔的底部慢慢插入，到達鼻咽時，可請病人同時做吞嚥動作,確定鼻胃管位置是否正確時，先用灌食空針打入白開水，評估是否有阻力或病人是否有咳嗽情形。,D,,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,放置鼻胃管是一項常見的臨床操作，正確的技術對於病人的安全至關重要。選項D是不正確的，因為在確認鼻胃管位置時，應使用少量空氣而非水，並透過聽診器檢查是否能聽到氣泡音，這樣可以更準確地判斷管子是否在胃內。其他選項均為正確的操作步驟，抬高床頭有助於減少誤吸的風險，測量管長度的方式也能確保管子正確放置。了解這些細節對於臨床護理人員來說是非常重要的。
6,一位 42 歲男性，因上腹痛且輕微腹瀉就診，醫師進行問診及及臨床理學檢查，當視診(Inspection)時就推測可能有肝硬化，請問，醫師可能在腹部看見什麼?,瑪麗喬瑟夫修女結節,妊娠紋,腹部局部凸起,蜘蛛痣,D,,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,蜘蛛痣是一種常見於肝硬化患者的皮膚表現，因為肝臟功能受損導致雌激素代謝異常，進而引起毛細血管擴張。這些小血管在皮膚表面形成紅色或紫色的蜘蛛狀圖案，通常出現在上半身，尤其是面部和胸部。醫師在進行腹部檢查時，若觀察到蜘蛛痣，則可作為肝硬化的指標之一。其他選項如瑪麗喬瑟夫修女結節和妊娠紋則與肝硬化無直接關聯，因此在此情境下，蜘蛛痣是最可能的觀察結果。
7,續上題，患者經藥物治療後返家，已無腹瀉，但半夜開始有發燒的情形，早上再度來到急診，且疼痛位置變成右下腹。急診醫師懷疑疼痛位置的改變很像是 Aaron’s sign，請你做一下其他相關的理學檢查，請問你在執行觸診時必須特別注意下圖哪一點的疼痛情形？,A,B,C,D,C,,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,Aaron's sign 是一種臨床徵象，通常與急性闌尾炎有關，當患者在觸診上腹部時，若感到右下腹的疼痛，則可能表示闌尾發炎。McBurney's point 是右下腹的一個特定位置，通常被用來評估闌尾炎的可能性。觸診時，醫師應特別注意此點的壓痛情況，因為這是診斷急性闌尾炎的重要指標。
8,一位 60 歲男性，收到糞便篩檢(iFOBT)陽性的報告，也接到衛生所的關懷電話，要他去醫院安排大腸鏡檢查。他覺得無排便異常的情形，這結果可能和糞便送檢前兩天有吃豬血糕的關係，所以沒去檢查。但他的太太知道後，覺得先生得了大腸癌，強迫先生就醫，而兩人為了要不要就醫做大腸鏡而吵了起來。他們問了一些朋友，以下的回應，你覺得何者比較正確？,排便沒異常，應該是和吃到動物的血有關，別緊張，不用檢查啦。,肉眼沒看到血，應該是那個診所有問題，去大醫院再做一次糞便檢查，真的陽性再去安排大腸鏡就好了。,這是一種檢測糞便中是否存在癌細胞的檢查，太太說得對，陽性就是得了大腸癌，一定要趕快檢查，不要再拖了。,這個檢驗只告訴我們糞便中有血，未必是大腸癌，但還是要接受大腸鏡檢查，找出可能的出血點比較安全。,D,,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,iFOBT（免疫化學糞便潛血測試）是一種用於檢測糞便中是否存在血液的檢查，並不直接檢測癌細胞。陽性結果可能指示腸道內部有出血，這可能是由多種原因引起的，包括腫瘤、息肉或其他病變。即使患者沒有排便異常，陽性結果仍然需要進一步的檢查，如大腸鏡，以確定出血的來源。因此，選項D是最正確的回應，強調了進一步檢查的重要性。
9,"有關 Lynch syndrome (HNPCC, hereditary nonpolyposis colorectal cancer) 的敘述，下列何者正確?","1, 2, 3, 4","1, 2","1, 2, 4","2, 3, 4",B,,腸腫瘤，阻塞，直腸肛門疾病及外科治療,胡晃鳴,Lynch syndrome，又稱為遺傳性非息肉性結腸癌（HNPCC），是一種常見的遺傳性癌症綜合症，主要與結腸癌及子宮內膜癌的風險增加有關。此綜合症的特徵是早發性結腸癌，且通常與錯配修復基因（MMR genes）的缺失有關。根據研究，Lynch syndrome 患者的結腸癌風險顯著高於一般人群，且多數腫瘤發生在右側結腸。選項1和2正確地描述了此綜合症的遺傳特性和基因缺失，而選項3和4則不正確，因為最常見的腫瘤轉移是子宮內膜癌，且腫瘤多發生在右側結腸。
10,"右側大腸癌(right-sided colon cancer),左側大腸癌(left-sided colon cancer)及直腸癌(rectal cancer),臨床症狀上的表現有何不同?以下敘述何者不正確?","2, 4","2, 3, 4","1, 2, 3, 4","1, 4",A,,腸腫瘤，阻塞，直腸肛門疾病及外科治療,胡晃鳴,右側大腸癌和左側大腸癌在臨床表現上有顯著差異。右側大腸癌通常表現為不明確的腹痛，因為腫瘤生長緩慢，且出血不明顯，常導致貧血。相對地，左側大腸癌則更容易引起腸道阻塞，因為其腫瘤生長較快且腸腔較窄。直腸癌則常伴隨排便困難或便意急迫（tenesmus）。在此題中，選項A指出的「阻塞」和「tenesmus」與右側大腸癌無關，因此是錯誤的敘述。
