id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,"In which situation, you may consider the possibility of child abuse?",Bruise and ecchymosis found behind ear,"During skeletal survey, fractures healing process in different stages",Proximal fracture found in infants less than 3 months old,All of above,D,以上都是，大家要小心身邊的兒童有沒有被家暴。,小兒骨折創傷,杜品毅,
2,"About distal humerus supracondylar fracture, which is right?",Supracondylar fracture is most common found in teenagers between 8-10 years old.,"May complicated with nerve palsy, ulnar nerve is most common.",Long arm casting shoulder not keep elbow in 90 degree flexion or more.,,C,(C) 據老師上課口述，幫病人上casting時，絕對不可以放在超過90度的 flexion，這樣反而更容易壓迫到median n.跟brachial a.而造成近一步傷害，所以此選項正確。,小兒骨折創傷,杜品毅,
3,"About Pediatrics forearm fracture, which is wrong?",Galeazzi fracture means distal radius fractures at distal metaphyseal-diaphyseal junction with concomitant disruption of distal radioulnar joint.,"Monteggia fracture means proximal ulnar fractures with associated radial head dislocation, anterior dislocation of radial head is most common.","In treating Monteggia fracture, we should try to restore ulnar length and reduce radial head.","In elbow radiograph, adequate reduction of radial head will show the line drawn from radial shaft pass the center of capitellar ossification center.",,最常見是往前側脫位沒錯。但此題四個選項應該都對，等申覆。,小兒骨折創傷,杜品毅,
4,"A 16-year-old man presented with knee pain. A plain film was taken, and the lesion is surgically resected. Microscopically the lesion is covered by perichondrium and a layer of cartilage 5mm in thickness. Bone formation and maturation are noted. Which of the following is the diagnosis of this lesion?",Chondrosarcoma,Giant cell tumor of bone,Osteoid osteoma,Osteochondroma,D,"16 year-old, knee, covered perichondrium, a layer of cartilage 5mm, and mushroom shaped →all clues lead to the diagnosis of osteochondroma.",肌肉骨骼系統病理學實驗,賴薇安,
5,A 55-year old woman presented with right hip pain. She received total hip replacement. The gross picture of the resected right femoral head is presented below. Which of the following is the least likely cause of this lesion?,Vascular thrombosis,Steroid uses,Alcohol ingestion,Bone metastasis of a malignant tumor,D,找缺血性壞死的etiology (D) 不可能，癌細胞會更需要blood supply,肌肉骨骼系統病理學實驗,賴薇安,"The correct answer is D, as bone metastasis of a malignant tumor is less likely to cause ischemic necrosis compared to the other options. Cancer cells typically require a significant blood supply, making this option the least likely cause."
6,Chondrosarcoma is a malignant bone tumor. Which of the following descriptions is incorrect?,Occurrence in children is rare.,"There are three subtypes, including conventional, peripheral, and periosteal types.",It preferentially occurs in long bones and flat bones.,It may de-differentiate and transform into osteochondroma.,D,是osteochondroma才有可能變成轉變分化成chondrosarcoma。,肌肉骨骼系統病理學實驗,賴薇安,"The correct answer is D, as osteochondroma can potentially transform into chondrosarcoma, but not the other way around. Therefore, this statement is incorrect."
7,Which of following tests is the golden standard physical examination of Developmental Dysplasia of Hip (DDH)?,Hip Abduction limitation,Allis sign,Asymmetry of thigh fold,Balow test,D,根據我的觀察，田教授很喜歡考一些細細微微的數字，煩請各位小心為上。,小兒髖關節疾病,田英俊,"The correct answer is D, as the Balow test is considered the gold standard for examining Developmental Dysplasia of the Hip (DDH)."
8,How much is the alpha angle of Graf’s type III DDH?,>60°,50~59°,43~49°,<43°,D,,小兒髖關節疾病,田英俊,"The correct answer is D, as Graf’s type III DDH is characterized by an alpha angle of less than 43°."
9,Which of following descriptions about slipped Capital Femoral Epiphysis (SCFE) is wrong?,more common on girl,mean age of boy patients is 13.5 years,acute on chronic is an unstable slip,single screw fixation is the gold standard treatment for unstable slip,A,(A) 男生較多 (B)(C) 正確 (D) gold standard 治療為single screw fixation,小兒髖關節疾病,田英俊,"The correct answer is A, as SCFE is actually more common in boys than girls, making this statement incorrect."
10,Transverse arrest of upper limb most happened on which level?,Below shoulder,Elbow,Below elbow,Wrist,C,,上肢先天畸型,田英俊,"The correct answer is C, as transverse arrest of the upper limb most commonly occurs below the elbow."
11,When should surgical reconstruction done for syndactyly on border digits?,<6 months of age,6~12 months,1~2 years,>2years,B,,上肢先天畸型,田英俊,"The correct answer is B, as surgical reconstruction for syndactyly on border digits is typically recommended between 6 to 12 months of age."
12,Which Wassel type of thumb duplication occurs most common?,Type II,Type III,Type IV,Type V,C,"最常見的是第IV型，第IV型又可分為IV A, IV B, IV C, IV D。",上肢先天畸型,田英俊,"The correct answer is C, as Wassel type IV is the most common type of thumb duplication."
13,How much load transfer through the hip joint during single leg standing in balance?,about body weight x 0.3,about body weight x 0.8,about body weight x 1.5,about body weight x 2.5,D,,髖關節創傷、疾病及重建,張瑞根,"The correct answer is D, as during single leg standing in balance, the load transfer through the hip joint is approximately body weight multiplied by 2.5."
14,Which of the following descriptions is the most proper about the late complication of osteonecrosis of the femoral head included by trauma?,Displaced femoral neck fracture treated by internal fixation,Intertrochanteric fracture treated by internal fixation,Posterior hip dislocation treated by delayed reduction,A+C,D,(A)(C) 都會造成缺血性病變 (B) 股轉子間骨折為關節外骨折，且其血液供應有許多側枝循環，和股骨頸、股骨頭必須考慮血液供應的情況不同。,髖關節創傷、疾病及重建,張瑞根,"The correct answer is D, as both A and C can lead to ischemic changes in the femoral head, making them proper descriptions of late complications."
15,The most reasonable treatment for a displaced femoral neck fracture in a 70 years old patient is,reduction and internal fixation,conservative treatment in bed,cartiny,hemiarthroplasty,D,60歲以上的老人只要有displaced type就直接做半套的人工關節置換，省掉fracture healing和osteonecrosis的發生。,髖關節創傷、疾病及重建,張瑞根,
16,Which joint is rarely involved in patients with rheumatoid arthritis?,Upper portion of C-spine,Distal interphalangeal joint,Metacarpal phalangeal joint,Talonavicular joint,B,"Rheumatoid arthritis 容易侵犯temporomandibular joint、Metatarsal phalangeal joint、Proximal interphalangeal joint、wrist joint 和 upper portion of C spine (C1,C2) 單純Rheumatoid arthritis病人不容易侵犯Distal interphalangeal joint",類風濕性關節炎和反覆性風濕症,顏正賢,
17,The DAS28 is 3.1 in a patient with rheumatoid arthritis. What disease activity level does this patient have?,High,Moderate,Low,Remission,C,RA評估療效方式最常使用的公式是DAS-28，要背三個數字5.1、3.2、2.6 (1)大於5.1：high disease activity (2)3.2~5.1之間：moderate disease activity (3)2.6~3.2之間：low disease activity (4)小於2.6：remission disease activity 本題的DAS-28為3.1，故為low disease activity,類風濕性關節炎和反覆性風濕症,顏正賢,
18,The most common subtype of juvenile idiopathic arthritis is,Still’s disease,Persistent oligoarthritis,Polyarthritis with positive rheumatoid factor,Psoriatic arthritis,B,根據老師上課表格，(A)約占5-10%，(B)約25-35%，(C)約5-10%，(D)約5%，因此JIA最常見的亞型應為(B) persistent oligoarthritits，謝謝老師！,少年特異性關節炎及成人史迪爾氏病,顏正賢,
19,The most common onset age of total juvenile idiopathic arthritis is,12-13 years,8-9 years,6-7 years,2-3 years,D,如圖所示，各種JIA大部分在2-3years達到顛峰。,少年特異性關節炎及成人史迪爾氏病,顏正賢,
20,"The following manifestations are common in patients with adult-onset Still's disease, except",High fever,Salmon-pink rash,Leukopenia,Lymphadenopathy,C,☆需熟記成人史迪爾氏症的criteria 小心C選項leukopenia是白血球減少症，不是增多症。,少年特異性關節炎及成人史迪爾氏病,顏正賢,
21,"The following are the common findings in patients with palindromic rheumatism, except",Residual disability,Periarthritis,Synovitis,Elevation of ESR and CRP,A,PR不會出現residual disability,類風濕性關節炎和反覆性風濕症,顏正賢,
22,"A 55 Y/O female has presented with polyarthritis over both DIPs and PIPs since 10 months ago. Associated with morning stiffness over both hands which was less than half an hour duration. The lab test revealed negative anti-CCP and Rheumatoid factor, normal ESR at 18 mm/hr, and CRP at 2.0 mg/L, No proteinuria, normal other organ system, What is the most likely diagnosis?",Rheumatoid arthritis,Gout,Erosive osteoarthritis,Septic arthritis,C,(A) Rheumatoid arthritis病人呈現 positive  anti-CCP and Rheumatoid factor (B) Gout:痛風最常發生在 1st MTP (metatarsophalangeal joint) (C) Erosive osteoarthritis:常 involve DIP,風濕免疫學之臨床剖析,吳正欽,
