id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,teacher,ai_explanation
1,以下何者為小腸血管異常增生(angiodysplasia)之危險因子？,三尖瓣閉鎖(Tricuspid insufficiency)不全,血友病(Hemophilia),慢性腎衰竭,急性心衰竭,C,,小腸疾病的診斷與治療,王耀廣,小腸血管異常增生（angiodysplasia）是一種血管病變，通常與老年人及某些慢性疾病有關。慢性腎衰竭被認為是小腸血管異常增生的危險因子之一，因為腎功能不全會影響全身的血液循環及血管健康，導致血管的結構和功能改變。其他選項如三尖瓣閉鎖、血友病和急性心衰竭雖然可能影響血液循環，但與小腸血管異常增生的直接關聯性較低。因此，正確答案為慢性腎衰竭。
2,關於急性小腸出血的處置，下列敘述何者錯誤？,電腦斷層血管攝影有發現小腸出血的病人，可使用血管攝影栓塞的方式進行止血,小腸鏡可以進行止血，是急性大量出血時第一優先的檢查方式,如果出血位置無法判定，如選擇小腸鏡檢查，建議從口側進行,年輕人懷疑可能是小腸出血時，可執行Meckel's scan來進行出血來源的確認,B,,小腸疾病的診斷與治療,王耀廣,急性小腸出血的處置需要迅速且有效的診斷與治療。選項B提到小腸鏡是急性大量出血時的第一優先檢查方式，這是錯誤的，因為在急性出血的情況下，通常會優先考慮其他影像學檢查如CT血管攝影來定位出血源，然後再考慮小腸鏡檢查。小腸鏡雖然可以用於止血，但並不是首選，尤其在大量出血的情況下，可能需要更快速的介入措施。因此，正確答案為B。
3,"一位 75 歲有中風病史的男性因腹痛，腹漲及噁心，在媳婦陪伴下就診，當
徵得病患同意進行腹部理學檢查時，以下的敘述哪些較不適當？ 
1.為保護病患隱私，僅醫師與患者在診間進行檢查即可。 
2.請患者平躺，掀開衣服以露出腹部，雙手置於胸前，雙膝彎曲踩在床上。 
3.理學檢查的步驟以視(inspection)，聽(auscultation)，叩(percussio
n)，觸(palpation)依序進行。  
4.進行觸診時，從最疼痛的地方開始。",13,23,14,1,C,,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,在進行腹部理學檢查時，患者的姿勢和舒適度是非常重要的。對於75歲的老年患者，尤其是有中風病史的患者，應該避免讓他們採取過於不自然或不舒適的姿勢。選項A中提到的姿勢可能會對患者造成不適，特別是雙膝彎曲踩在床上，這對於行動不便的老年患者來說可能是困難的。因此，應該選擇更為舒適和安全的姿勢來進行檢查。
4,續上題，在扣診部分，發現肚臍附近都是tympanic的聲音，主治醫師請你評估看是否有腹水，以下步驟何者正確？,自肚臍開始進行扣診並往右邊腹部移動，紀錄聲音改變的位置，再請患者向左側躺，從右腹部開始扣診並往肚臍移動，再次紀錄聲音改變的情形。,左手掌放在患者的右側腹部上緊貼著，右手則在患者左側腹部彈動，製造波動，看左手掌是否感覺到波動。,將手放在肚子正中間，往下壓，再瞬間放開，看肚子震動情形。,請患者吐氣後，把手放在右上腹肋骨下緣，再請患者吸氣。,A,,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,在評估腹水的過程中，正確的扣診步驟是至關重要的。從肚臍開始進行扣診，然後向右側腹部移動，能夠幫助醫生清楚地記錄聲音的變化，這對於判斷腹水的存在與否非常重要。當患者轉向左側躺下時，重新進行扣診可以進一步確認聲音的變化，這樣的檢查方法能夠提高診斷的準確性。
5,續上題，在腹部理學檢查過程中，病患有嘔吐情形，且嘔吐物中有咖啡色液體，主治醫師請你協助放置鼻胃管以避免病患持續嘔吐而嗆到。放置鼻胃管相關細節，下列何者錯誤？,採平躺姿勢，將床頭抬高30~60度。,測量鼻孔到耳根的距離加上耳根到劍突末端的距離，作為鼻胃管放入長度的參考。,鼻胃管前端朝下，管子的彎度順著鼻孔的底部慢慢插入，到達鼻咽時可請病人同時做吞嚥動作，之後持續插入至頂到東西的感覺，表示前端已到胃部。,確定鼻胃管位置是否正確時，先用灌食空針回抽看看是否有胃內容物被抽出來，之後打入少量空氣，同時在胃部用聽診器聽診，如能聽到氣泡音，即表示位置正確。,C,,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,放置鼻胃管的過程中，正確的操作步驟至關重要。選項C中提到的「頂到東西的感覺」並不一定表示鼻胃管已經到達胃部，因為這可能會導致誤插入氣管的風險。正確的做法應該是通過聽診確認位置，這樣可以更安全地確保鼻胃管的正確放置，避免病患出現嗆到的情況。
6,"一位56歲女性，無特殊病史或手術史，僅有長期便祕使用藥物，但昨天無排
便。昨晚因腹脹，上腹悶痛及噁心至急診就診，經藥物治療後返家，但半夜
開始有發燒的情形，中午再度來到急診，且疼痛位置變成了右下腹部。急診
醫師請你協助執行腹部理學檢查，並說了一句“她疼痛位置的改變很像是Aa
ron’s sign”。請問你執行腹部理學檢查時，下列哪些是與急診醫師推測
的診斷是相關的？ 
1.檢查McBurney’s point   
2.Right side frank knocking pain   
3.Obturator muscle sign   
4.Murphy’s sign   
5.Rovsing’s sign",123,135,245,1245,B,,病史詢問(消化系統)/腹部的檢查/糞便檢查結果判讀,胡晃鳴,
7,關於小腸阻塞(small bowel obstruction)的敘述，下述描述何者有誤？,小腸阻塞有高達 75%是來自先前腹部手術所導致,手術後造成腸沾黏之小腸阻塞(small bowel obstruction)的發生率會隨著手術後時間越久而越來越高,若阻塞位置在遠端迴腸(ileum)呈現以腹部腫脹(abdominal distension)為主;若是近端小腸阻塞則是以毆吐(vomiting)最為明顯,絞扼性(strangulated)小腸阻塞的腹痛程度與腹部理學檢查嚴重度常不成正比,A,應該四個選項都是對的，目前等申覆。,腸腫瘤，阻塞，直腸肛門疾病及外科治療,王照元,小腸阻塞的原因多樣，其中手術後的腸沾黏是最常見的原因之一。選項A、B、C、D均為正確的敘述，反映了小腸阻塞的臨床特徵及其診斷挑戰。特別是絞扼性小腸阻塞的腹痛程度常常與臨床檢查的發現不成正比，這使得診斷和治療變得更加複雜。
8,關於轉移性大腸直腸癌的 KRAS 基因突變下述描述何者有誤？,大約 40% 轉移性大腸直腸癌有 KRAS 基因突變,根據指引建議，KRAS 基因分析之標本來源必須採用轉移病灶標本進行分析,考慮使用抗表皮生長因子受器 (anti-epidermal growth factor) 抗體需要檢測 KRAS 與 NRAS 基因突變情形,BRAF 基因突變的轉移性大腸直腸癌病患二線或三線治療以標靶加上化療效果優於雙標靶治療,B,,腸腫瘤，阻塞，直腸肛門疾病及外科治療,王照元,KRAS基因突變在轉移性大腸直腸癌中是一個重要的預後指標。選項B的描述不正確，因為KRAS基因分析可以使用原發或轉移病灶的標本進行，這一點在臨床實踐中是非常重要的。了解這一點有助於醫生在治療過程中做出更好的決策，特別是在選擇針對性治療時。
9,"關於胃腸道基質瘤(gastrointestinal stromal turors, GISTs)，下述描述何者有誤？",原致癌基因(protooncogene)KIT 發生變異所致，最常發生變異位置為 KIT Exon 11,分析 CD117 抗原(KIT receptor 的部分結構)免疫組織染色，約70% GISTs 為陽性染色,60 to 70% of GISTs 原發位置於胃,KIT 野生型（wild type)相對於 PDGFRa突變之 GISTs危險風險較高,B,,腸腫瘤，阻塞，直腸肛門疾病及外科治療,王照元,胃腸道基質瘤（GISTs）是一種由間葉組織衍生的腫瘤，主要由KIT基因的突變引起。選項B的描述不正確，因為實際上約95%的GISTs在CD117抗原的免疫組織染色中呈陽性，而不是70%。這一點對於GISTs的診斷和治療具有重要意義，因為CD117的表達是治療的主要靶點。
10,關於憩室疾患(diverticular disease)下述描述何者有誤？,大小約0.5 to 1 cm 囊狀外包裝(saccular outpouchings)，憩室通常位於the single mesenteric teniae 與 one of the antimesenteric teniae之間,大多數為偽憩室(false diverticula):亦即其黏膜層(mucosa)與黏膜肌肉層(muscularis mucosa)會突出(herniate)過大腸壁,乙狀結腸(Sigmoid colon)侵犯約佔95%，右側憩室疾患常發生在較年長的病人,,C,應改為乙狀結腸(Sigmoid colon)侵犯約佔95%，右側憩室疾患常發生在較年輕的病人,腸腫瘤，阻塞，直腸肛門疾病及外科治療,王照元,憩室疾患是指腸道壁的囊狀突出，通常發生在結腸，特別是乙狀結腸。這些憩室的形成與腸道內壓力的增加有關，通常與飲食纖維攝取不足有關。選項C的描述是錯誤的，因為右側憩室疾患通常發生在年輕患者，而不是年長患者。這一點在臨床上非常重要，因為年齡和憩室的發生有著密切的關聯。了解這些差異有助於醫療人員在診斷和治療時做出更準確的判斷。
